time,observation,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1,MPI-M-MPI-ESM-LR_DMI-HIRHAM5,MPI-M-MPI-ESM-LR_KNMI-RACMO22E,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009,MPI-M-MPI-ESM-LR_SMHI-RCA4,MPI-M-MPI-ESM-LR_UHOH-WRF361H,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17_min,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17_pred,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17_max,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1_min,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1_pred,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1_max,MPI-M-MPI-ESM-LR_DMI-HIRHAM5_min,MPI-M-MPI-ESM-LR_DMI-HIRHAM5_pred,MPI-M-MPI-ESM-LR_DMI-HIRHAM5_max,MPI-M-MPI-ESM-LR_KNMI-RACMO22E_min,MPI-M-MPI-ESM-LR_KNMI-RACMO22E_pred,MPI-M-MPI-ESM-LR_KNMI-RACMO22E_max,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05_min,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05_pred,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05_max,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009_min,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009_pred,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009_max,MPI-M-MPI-ESM-LR_SMHI-RCA4_min,MPI-M-MPI-ESM-LR_SMHI-RCA4_pred,MPI-M-MPI-ESM-LR_SMHI-RCA4_max,MPI-M-MPI-ESM-LR_UHOH-WRF361H_min,MPI-M-MPI-ESM-LR_UHOH-WRF361H_pred,MPI-M-MPI-ESM-LR_UHOH-WRF361H_max
1951-01-01,NA,-1.38413085937498,-0.0857757568359148,3.07401428222659,-0.627050781249977,NA,4.67217407226565,NA,NA,3.07096774193548,4.80967741935484,7.11071428571429,3.48064516129032,5.37096774193548,9.18387096774194,4.01612903225806,6.6741935483871,11.0033333333333,3.48064516129032,5.91290322580645,10.4892857142857,NA,NA,NA,4.43548387096774,6.76451612903226,11.9709677419355,NA,NA,NA,NA,NA,NA
1951-02-01,NA,0.319802856445335,1.7526794433594,3.7767272949219,-0.37590637207029,NA,7.39029846191409,NA,NA,4.43548387096774,6.76129032258064,11.1709677419355,4.71290322580645,6.80322580645161,12.7516129032258,4.50967741935484,6.78709677419355,12.64,3.48064516129032,6.15357142857143,10.5333333333333,NA,NA,NA,4.88709677419355,7.90967741935484,16.5633333333333,NA,NA,NA,NA,NA,NA
1951-03-01,NA,2.19318542480471,5.75982055664065,7.10885009765627,2.7169128417969,NA,9.86870727539065,NA,NA,4.88709677419355,7.55483870967742,16.3096774193548,6.6741935483871,10.5333333333333,17.8645161290323,6.15357142857143,10.4892857142857,17.67,4.88709677419355,7.90967741935484,16.6266666666667,NA,NA,NA,6.15357142857143,10.5178571428571,17.8645161290323,NA,NA,NA,NA,NA,NA
1951-04-01,NA,8.53278503417971,11.8304992675781,13.5987945556641,9.40212402343752,NA,16.1499420166016,NA,NA,6.80967741935484,12.9258064516129,21.99,7.90967741935484,16.358064516129,23.5333333333333,8.12068965517241,16.6266666666667,24.0645161290323,6.80322580645161,12.9766666666667,22.8333333333333,NA,NA,NA,7.53928571428571,16.358064516129,23.9322580645161,NA,NA,NA,NA,NA,NA
1951-05-01,NA,12.1917053222656,16.6773468017578,16.7044921875,15.8692260742188,NA,21.4955841064453,NA,NA,9.18387096774194,16.8774193548387,24.43,11.5535714285714,20.8451612903226,26.5733333333333,10.6344827586207,18.78,25.91,10.17,17.8064516129032,25.5857142857143,NA,NA,NA,11.1633333333333,19.7129032258065,26.5733333333333,NA,NA,NA,NA,NA,NA
1951-06-01,NA,14.1727996826172,17.5002532958985,18.9230438232422,17.3754821777344,NA,21.0763641357422,NA,NA,10.5333333333333,17.8645161290323,25.1766666666667,12.7516129032258,21.55,26.6,12.64,21.55,26.6233333333333,11.0033333333333,19.6193548387097,26.5733333333333,NA,NA,NA,10.8466666666667,19.31,26.1866666666667,NA,NA,NA,NA,NA,NA
1951-07-01,NA,21.230844116211,20.839974975586,22.8371063232422,23.0889831542969,NA,25.8041320800781,NA,NA,21.2096774193548,26.5733333333333,28.9193548387097,18.3933333333333,25.1766666666667,27.8838709677419,19.31,26.1866666666667,28.9193548387097,19.31,26.2032258064516,29.0483870967742,NA,NA,NA,17.8064516129032,25.1766666666667,28.2,NA,NA,NA,NA,NA,NA
1951-08-01,NA,20.2624450683594,19.8230682373047,23.8969665527344,21.7247100830078,NA,30.2043548583985,NA,NA,18.3933333333333,25.1766666666667,28.2,17.01,24.43,27.4193548387097,21.99,26.7161290322581,29.6129032258065,17.1666666666667,25.06,27.8838709677419,NA,NA,NA,25.1677419354839,28.2,30.3322580645161,NA,NA,NA,NA,NA,NA
1951-09-01,NA,18.649545288086,18.3437744140625,20.2158752441406,18.6967712402344,NA,23.1650634765625,NA,NA,16.358064516129,23.5333333333333,27.2769230769231,14.5548387096774,22.8333333333333,26.9,14.5548387096774,23.0516129032258,27.1096774193548,11.5535714285714,21.4533333333333,26.6233333333333,NA,NA,NA,12.9766666666667,22.4233333333333,26.9166666666667,NA,NA,NA,NA,NA,NA
1951-10-01,NA,10.8849578857422,11.8035827636719,13.8979888916016,12.7654052734375,NA,17.5600524902344,NA,NA,7.55483870967742,16.3096774193548,23.1935483870968,7.90967741935484,16.358064516129,23.5333333333333,8.4551724137931,16.8774193548387,24.43,7.55483870967742,16.5633333333333,24.43,NA,NA,NA,8.4551724137931,16.8838709677419,24.64,NA,NA,NA,NA,NA,NA
