time,observation,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1,MPI-M-MPI-ESM-LR_DMI-HIRHAM5,MPI-M-MPI-ESM-LR_KNMI-RACMO22E,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009,MPI-M-MPI-ESM-LR_SMHI-RCA4,MPI-M-MPI-ESM-LR_UHOH-WRF361H
1951-01-01,NA,NA,0.644936509343097,0.094002014338912,0.7416851571179,NA,0.206786454327812,NA,NA
1951-02-01,NA,NA,3.93617483787239,4.11272325727623,5.50210519577377,NA,2.05464570899494,NA,NA
1951-03-01,NA,NA,1.51666598394513,0.586567522259429,0.332284029718721,NA,0.882286507840035,NA,NA
1951-04-01,NA,NA,1.79579412506428,0.092057293295511,0.693100601347396,NA,1.94484225357883,NA,NA
1951-05-01,NA,NA,3.79717485629953,2.41721265774686,3.41482617077418,NA,3.72349808458239,NA,NA
1951-06-01,NA,NA,6.9555603666231,1.13763020635815,3.71927910600789,NA,5.30083060730249,NA,NA
1951-07-01,NA,NA,2.75673977157567,0.33555948675712,1.36240220308537,NA,1.15973686042707,NA,NA
1951-08-01,NA,NA,3.5122700384818,0.788432435729192,1.99458620336372,NA,0.636204092006665,NA,NA
1951-09-01,NA,NA,4.95027977158315,2.37916664918885,3.15261174109764,NA,3.10305206221528,NA,NA
1951-10-01,NA,NA,1.85885524260812,1.55267137888586,2.34526740387082,NA,2.196163876215,NA,NA
1951-11-01,NA,NA,6.31176796741784,2.00572909234324,3.41394002025481,NA,3.72716668643989,NA,NA
1951-12-01,NA,NA,7.85034466534853,3.39994965470396,5.13358020689338,6.17477194173262,4.4172367779538,NA,NA
1952-01-01,NA,NA,7.36800878075883,3.86529733368661,5.91823384165764,4.62730450672098,3.25371906365035,NA,NA
1952-02-01,NA,NA,1.88589489553124,0.719827583088772,2.01805422257166,2.05060644366313,1.12467934086453,NA,NA
1952-03-01,NA,NA,2.80097115319222,0.975680452756933,1.16028495831415,3.10574909672141,2.17107765201945,NA,NA
1952-04-01,NA,NA,4.81456319103017,1.24531246401602,1.48528979625553,1.78145757381571,3.73413456254639,NA,NA
1952-05-01,NA,1.53435961427369e-19,3.00888444471639,0.423891126411036,1.53062342433259,2.27786715840921,3.20436365436763,NA,NA
1952-06-01,NA,NA,3.20980141405016,0.0557291676614113,1.81745212466922,3.66752169211395,4.32096485747024,NA,NA
1952-07-01,NA,NA,9.77381636621431,2.39037303108489,3.28781016287394,6.53343996964395,9.30140517884865,NA,NA
1952-08-01,NA,NA,1.16550595412264,0.1547379002659,0.633822027157294,1.21407375263516,1.53733017796185,NA,NA
1952-09-01,NA,NA,6.78056477336213,4.20273444615304,7.40236033452675,3.30733156297356,6.8701337906532,NA,NA
1952-10-01,NA,NA,5.63389244489372,4.5929939718917,7.98565341392532,5.31407359521836,6.17653088411316,NA,NA
1952-11-01,NA,2.80668588723465e-18,8.59265606850386,8.08320336509496,10.1333569502458,8.84908698499203,8.28552542952821,NA,NA
1952-12-01,NA,NA,5.09786858456209,2.78011600894388,2.53995028033387,2.84035939257592,2.01319481420796,NA,NA
1953-01-01,NA,NA,1.12208646460203,0.672379004390677,0.752773904241621,1.18111912161112,1.02675467933295,NA,NA
1953-02-01,NA,NA,1.74483964510728,1.01757810625713,1.89439603127539,1.51154537452385,1.47093548584962,NA,NA
1953-03-01,NA,0.000288911525103686,6.21996412519366,3.03742451069411,5.49787050113082,6.18265103548765,5.20172633696347,NA,NA
1953-04-01,NA,NA,2.31599206163082,0.304557289928198,0.341146615392063,1.71438858378679,2.97920975717716,NA,NA
1953-05-01,NA,NA,4.69608808052726,1.97278220148291,3.41192812775262,3.59060159535147,4.99668963602744,NA,NA
1953-06-01,NA,NA,4.95409689028747,1.1437500041211,2.25378134055063,4.98993942746893,5.52451630937867,NA,NA
1953-07-01,NA,NA,5.29780117794871,2.11088703508722,4.11719722906128,3.88286719098687,7.26681333035231,NA,NA
1953-08-01,NA,NA,2.82572883297689,1.59097784198821,4.05822503962554,3.8933455653023,3.30027952732053,NA,NA
1953-09-01,NA,NA,1.01844414020889,2.17591156106209,2.09219210373703,1.00648979132529,2.79934886202682,NA,NA
1953-10-01,NA,NA,4.95536486268975,5.53629039495718,3.77218583598733,3.00988563685678,3.47922590444796,NA,NA
1953-11-01,NA,NA,5.68187250173651,1.83164059126284,4.19948860653676,4.91476727183908,2.88269455195405,NA,NA
1953-12-01,NA,NA,3.4332224575337,2.01776716858149,2.38054982037283,4.22797445207834,3.12841999693774,NA,NA
1954-01-01,NA,NA,4.54868534579873,1.57711693755118,2.4838765268214,3.50485551171005,2.77113804768305,NA,NA
1954-02-01,NA,NA,4.39363297191449,1.86565291369334,3.00405261805281,3.48371802829206,3.29717803979293,NA,NA
1954-03-01,NA,NA,2.5403799576452,0.122857862174897,2.03037255560048,2.00946436962113,1.71750295849051,NA,NA
1954-04-01,NA,NA,0.484526390209794,1.66653641645098,2.25247910711914,1.62295823392924,3.0033708550036,NA,NA
1954-05-01,NA,NA,6.14889543503523,1.99596768507035,6.47556900512427,6.24728525290266,8.19981124950573,NA,NA
1954-06-01,NA,NA,6.52888576732948,2.15546872786945,4.3558694596868,5.71830816334113,7.43314151186496,NA,NA
1954-07-01,NA,NA,4.22345623956062,1.81817034899723,3.97165731992573,5.54202070925385,6.14077777136117,NA,NA
