time,observation,MIROC-MIROC5_CLMcom-CCLM4-8-17,MIROC-MIROC5_GERICS-REMO2015
1951-01-01,NA,3.29716358100995,0.889363944588695
1951-02-01,NA,0.668831180519192,0.00333183716776375
1951-03-01,NA,4.36397297889926,3.33206032519229
1951-04-01,NA,4.29320006514899,3.87589585734531
1951-05-01,NA,8.26740385964513,6.36000246740878
1951-06-01,NA,4.68889735057019,4.33095336193219
1951-07-01,NA,1.9206891709473,8.88749359874055
1951-08-01,NA,3.02693568519317,7.51712755300105
1951-09-01,NA,0.806434651894961,1.70550696202554
1951-10-01,NA,7.69849758362398,5.03015527501702
1951-11-01,NA,1.69352326338412,1.30896395567106
1951-12-01,NA,1.88799322640989,1.53505798807601
1952-01-01,NA,0.712279017898254,0.545491239608964
1952-02-01,NA,1.49519280530512,1.46461931581143
1952-03-01,NA,4.40103429718874,2.79589973506518
1952-04-01,NA,7.04294830793515,7.11469530360773
1952-05-01,NA,4.34617311693728,3.01937397744041
1952-06-01,NA,2.95946801779792,11.9981596246362
1952-07-01,NA,6.60022445954382,6.68766080634668
1952-08-01,NA,2.36096516309772,5.6569482316263
1952-09-01,NA,6.55822389526293,7.77063480927609
1952-10-01,NA,5.89145193225704,3.29530814196914
1952-11-01,NA,1.63283766887616,1.0260169277899
1952-12-01,NA,1.10712075984338,1.07922253810102
1953-01-01,NA,3.89598193578422,1.18583508156007
1953-02-01,NA,1.07805620937143,1.94333932595327
1953-03-01,NA,3.2071229245048,1.21434898028383
1953-04-01,NA,7.87018400151283,5.4687182942871
1953-05-01,NA,4.423339641653,5.83968823193572
1953-06-01,NA,6.38561934465542,9.53378956764936
1953-07-01,NA,3.32525149569847,7.5944748125039
1953-08-01,NA,3.29824123182334,5.58458768064156
1953-09-01,NA,3.85377847705968,1.94142345862929
1953-10-01,NA,4.2492508655414,6.19032849208452
1953-11-01,NA,5.74622021522373,4.17876838473603
1953-12-01,NA,3.37214902974665,1.5518276617513
1954-01-01,NA,2.53874187183101,0.571417369792471
1954-02-01,NA,3.3601052564336,2.65167203906458
1954-03-01,NA,1.3842696978827,0.709745214408031
1954-04-01,NA,2.22348201787099,3.43344185384922
1954-05-01,NA,6.32993731414899,6.68750710319728
1954-06-01,NA,6.98838180396706,8.31171688623726
1954-07-01,NA,2.84206285723485,6.33382044034079
1954-08-01,NA,2.55781473533716,6.43115099519491
1954-09-01,NA,1.86572536476888,3.53766060434282
1954-10-01,NA,2.15906578232534,5.75536948163062
1954-11-01,NA,5.97113208496012,5.6649470818229
1954-12-01,NA,1.92989847273566,0.0347224953429759
1955-01-01,NA,2.63092832174152,0.430553855403559
1955-02-01,NA,0.601024596107891,0.241044119320577
1955-03-01,NA,5.28654878726229,2.86865193047561
1955-04-01,NA,3.19384693284519,3.82228080416098
1955-05-01,NA,6.61936191609129,4.31028720340692
1955-06-01,NA,3.68063250789419,6.74970973050222
1955-07-01,NA,4.52663805917837,6.58734356984496
1955-08-01,NA,1.75212419999298,5.79675146145746
1955-09-01,NA,4.54425152856857,2.33211313316133
1955-10-01,NA,7.1299678646028,9.93889857782051
1955-11-01,NA,0.939724003546871,0.874387513613328
1955-12-01,NA,4.36154767521657,1.9305501395138
1956-01-01,NA,4.24529843148775,2.627003469388
1956-02-01,NA,3.82085849996656,4.1784399189055
1956-03-01,NA,1.90425845357822,1.41610475548077
1956-04-01,NA,5.00117138726637,2.7506365935551
1956-05-01,NA,5.74345120112412,5.27122263447382
1956-06-01,NA,9.7934938268736,6.22678898507729
1956-07-01,NA,1.04586186280358,7.51893867272884
1956-08-01,NA,6.15919606061652,5.98346872720867
1956-09-01,NA,7.48382520396262,2.17098500579596
1956-10-01,NA,2.41279416368343,2.53861095698085
1956-11-01,NA,4.5725597825367,5.74957370990887
1956-12-01,NA,3.10854011331685,0.673920377448667
1957-01-01,NA,1.0044562695839,0.0223531227319995
1957-02-01,NA,1.051573062432,1.14496167370817
1957-03-01,NA,2.02756315120496,2.46769471268635
1957-04-01,NA,3.6558658699505,4.59080503787845
1957-05-01,NA,5.17755580949597,5.64044085913338
1957-06-01,NA,6.62152256118134,8.79048365168273
1957-07-01,NA,3.62613766919822,4.08411364769563
1957-08-01,NA,2.91828170302324,3.95719052175991
1957-09-01,NA,2.22031287266873,2.83836863818578
1957-10-01,NA,2.84580713196192,4.14539704215713
1957-11-01,NA,4.23464718041942,2.47508700122125
1957-12-01,NA,2.85916154680308,1.42520844528917
1958-01-01,NA,7.50133730471134,4.41430950304493
1958-02-01,NA,4.27137877559289,3.23050686274655
1958-03-01,NA,4.63665965362452,2.04235550772864
1958-04-01,NA,6.82767840335146,4.13374169147573
1958-05-01,NA,8.26150813372806,5.64439282170497
1958-06-01,NA,3.86346617597155,7.74275906151161
1958-07-01,NA,3.42517064418644,5.57283206144348
1958-08-01,NA,3.1037444336107,7.95318495947868
1958-09-01,NA,2.11589688551612,6.42345483647659
1958-10-01,NA,3.38889984413981,7.13798211654648
1958-11-01,NA,3.06476174737327,1.78628393914551
1958-12-01,NA,2.89497461635619,1.65296150516951
1959-01-01,NA,2.86957839271054,1.71932779048802
1959-02-01,NA,0.162780382197525,0.055804148041716
1959-03-01,NA,3.36663646157831,1.09277847222984
1959-04-01,NA,2.44164729374461,5.5886595568154
1959-05-01,NA,7.63520991895348,6.70074537629262
1959-06-01,NA,3.00565094221383,7.70199440885335
1959-07-01,NA,2.81996135017835,8.23144298046827
1959-08-01,NA,5.36286695860326,8.1589856185019
1959-09-01,NA,1.83597901195753,5.6937241461128
