time,observation,CCCma-CanESM2_CLMcom-CCLM4-8-17,CCCma-CanESM2_GERICS-REMO2015,CCCma-CanESM2_CLMcom-CCLM4-8-17_min,CCCma-CanESM2_CLMcom-CCLM4-8-17_pred,CCCma-CanESM2_CLMcom-CCLM4-8-17_max,CCCma-CanESM2_GERICS-REMO2015_min,CCCma-CanESM2_GERICS-REMO2015_pred,CCCma-CanESM2_GERICS-REMO2015_max
1951-01-01,NA,-0.387609863281227,4.76609191894534,3.07096774193548,4.80967741935484,7.11071428571429,3.07096774193548,4.43548387096774,6.76129032258064
1951-02-01,NA,-0.668005371093727,6.1514831542969,3.07096774193548,4.50967741935484,6.78709677419355,3.07096774193548,4.88709677419355,7.55483870967742
1951-03-01,NA,2.96082458496096,10.6924835205078,5.37096774193548,10.0233333333333,17.1666666666667,5.37096774193548,9.18387096774194,17.01
1951-04-01,NA,11.5627838134766,17.1606842041016,10.17,17.6612903225806,25.1387096774194,9.42333333333333,17.1533333333333,24.64
1951-05-01,NA,18.6752716064453,21.0725341796875,16.3096774193548,23.5333333333333,27.2769230769231,12.9258064516129,21.99,26.7161290322581
1951-06-01,NA,18.0118041992188,20.9338317871094,14.7516129032258,23.1,27.1096774193548,12.8322580645161,21.9709677419355,26.6633333333333
1951-07-01,NA,21.9075408935547,24.476449584961,18.8709677419355,25.91,28.7516129032258,19.1516129032258,26.1516129032258,28.7516129032258
1951-08-01,NA,25.4643341064453,19.3062072753906,23.1,27.1096774193548,30.0333333333333,11.0033333333333,19.31,26.1516129032258
1951-09-01,NA,17.8883758544922,19.2198883056641,14.7516129032258,23.1,27.1096774193548,11.0033333333333,19.1516129032258,26.1516129032258
1951-10-01,NA,10.7710815429688,13.2432342529297,9.42333333333333,17.1666666666667,24.7166666666667,6.76129032258064,11.49,20.8451612903226
1951-11-01,NA,3.39649353027346,10.2939239501953,6.15357142857143,10.17,17.6612903225806,4.98064516129032,8.12068965517241,16.6266666666667
1951-12-01,NA,2.18135986328127,7.50225219726565,4.88709677419355,7.53928571428571,16.3096774193548,4.01612903225806,6.47741935483871,10.5333333333333
1952-01-01,NA,1.08757934570315,7.04439697265627,4.50967741935484,6.76451612903226,11.9709677419355,3.48064516129032,5.91290322580645,10.17
1952-02-01,NA,-0.71819152832029,7.32749328613284,3.07096774193548,4.43548387096774,6.76451612903226,4.01612903225806,6.15357142857143,10.5178571428571
1952-03-01,NA,3.5670104980469,10.9108367919922,6.15357142857143,10.4892857142857,17.67,5.37096774193548,10.0233333333333,17.1666666666667
1952-04-01,NA,9.56311950683596,16.0682006835938,8.12068965517241,16.6266666666667,24.0645161290323,7.55483870967742,16.358064516129,23.5333333333333
1952-05-01,NA,12.3342681884766,15.6723114013672,10.5178571428571,17.8645161290323,25.1766666666667,7.45714285714286,15.68,23.1483870967742
1952-06-01,NA,16.7576538085938,19.3957763671875,12.9766666666667,22.2566666666667,26.7161290322581,11.0233333333333,19.6193548387097,26.1866666666667
1952-07-01,NA,22.9998107910156,25.1610504150391,20.8451612903226,26.5733333333333,29.0483870967742,21.2096774193548,26.5774193548387,29.0483870967742
1952-08-01,NA,24.0628601074219,23.2856842041016,21.5766666666667,26.6633333333333,29.6129032258065,17.1533333333333,24.7166666666667,27.5612903225806
1952-09-01,NA,20.998681640625,23.1573272705078,17.6612903225806,25.1387096774194,27.8838709677419,17.01,24.64,27.5612903225806
1952-10-01,NA,10.3147216796875,16.7065521240235,9.18387096774194,17.01,24.64,8.4551724137931,16.8774193548387,24.43
1952-11-01,NA,3.61031494140627,7.32142028808596,6.15357142857143,10.4892857142857,17.8064516129032,4.01612903225806,6.15357142857143,10.5178571428571
1952-12-01,NA,1.0142761230469,5.06531677246096,4.43548387096774,6.76129032258064,11.5535714285714,3.07096774193548,4.50967741935484,6.76451612903226
1953-01-01,NA,0.34595642089846,8.28455505371096,4.01612903225806,6.15357142857143,10.5178571428571,4.43548387096774,6.76129032258064,11.49
1953-02-01,NA,1.32363281250002,10.4063049316406,4.50967741935484,6.80322580645161,12.8322580645161,4.98064516129032,8.4551724137931,16.8774193548387
1953-03-01,NA,5.28347167968752,13.4648986816406,6.76451612903226,11.8857142857143,21.2225806451613,6.76451612903226,11.8857142857143,21.2225806451613
1953-04-01,NA,7.80123291015627,12.4635559082031,7.11071428571429,14.7516129032258,23.1,6.6741935483871,11.0033333333333,19.1516129032258
1953-05-01,NA,12.8032623291016,16.1900573730469,10.6344827586207,18.78,25.5857142857143,7.55483870967742,16.358064516129,23.9322580645161
1953-06-01,NA,19.8889251708985,22.4076171875,16.8838709677419,24.5967741935484,27.5612903225806,16.3096774193548,23.5333333333333,27.2769230769231
1953-07-01,NA,22.1333099365235,24.9676452636719,19.1516129032258,26.1516129032258,28.7516129032258,20.8451612903226,26.5733333333333,29.0483870967742
1953-08-01,NA,21.1664825439453,22.4470916748047,17.67,25.1677419354839,27.8838709677419,16.358064516129,23.5333333333333,27.2769230769231
1953-09-01,NA,17.086312866211,20.2531982421875,13.0838709677419,22.4233333333333,26.9,11.8857142857143,21.2225806451613,26.6
1953-10-01,NA,13.0084014892578,16.4379974365235,10.8466666666667,18.8709677419355,25.91,8.12068965517241,16.5633333333333,24.0645161290323
1953-11-01,NA,6.16742858886721,11.7751556396485,6.80322580645161,12.8322580645161,21.9709677419355,6.47741935483871,10.5333333333333,17.8645161290323
1953-12-01,NA,0.830361938476585,5.33204040527346,4.43548387096774,6.7258064516129,11.1633333333333,3.07096774193548,4.50967741935484,6.80967741935484
