time,observation,MIROC-MIROC5_CLMcom-CCLM4-8-17,MIROC-MIROC5_GERICS-REMO2015,MIROC-MIROC5_CLMcom-CCLM4-8-17_min,MIROC-MIROC5_CLMcom-CCLM4-8-17_pred,MIROC-MIROC5_CLMcom-CCLM4-8-17_max,MIROC-MIROC5_GERICS-REMO2015_min,MIROC-MIROC5_GERICS-REMO2015_pred,MIROC-MIROC5_GERICS-REMO2015_max
1951-01-01,NA,-0.70335998535154,0.702371215820335,4.71290322580645,6.80322580645161,12.64,3.07096774193548,4.50967741935484,6.78709677419355
1951-02-01,NA,1.31656799316409,8.94020996093752,6.71428571428571,10.6344827586207,17.8064516129032,6.15357142857143,10.17,17.5516129032258
1951-03-01,NA,2.60218200683596,8.07282409667971,6.80322580645161,11.9709677419355,20.8451612903226,5.37096774193548,9.18387096774194,16.8774193548387
1951-04-01,NA,10.2086730957031,12.9175354003906,11.49,19.6193548387097,25.91,6.80967741935484,12.9258064516129,21.9709677419355
1951-05-01,NA,10.9795776367188,14.6318145751953,12.64,21.2225806451613,26.2032258064516,7.53928571428571,15.9066666666667,23.1483870967742
1951-06-01,NA,19.0030151367188,22.1107727050781,20.2935483870968,26.1866666666667,28.7516129032258,13.9,22.8333333333333,26.9
1951-07-01,NA,23.3325897216797,25.7693267822266,25.1677419354839,27.8838709677419,30.2322580645161,20.2935483870968,26.2032258064516,28.9193548387097
1951-08-01,NA,23.2578674316406,24.8881011962891,25.1677419354839,27.7677419354839,30.2322580645161,17.8064516129032,25.1677419354839,27.8838709677419
1951-09-01,NA,17.0793395996094,20.5608001708985,17.8064516129032,25.06,27.5612903225806,11.9709677419355,21.2225806451613,26.5774193548387
1951-10-01,NA,9.80497131347659,15.2027069091797,11.1709677419355,19.31,25.5857142857143,7.90967741935484,16.4064516129032,23.9322580645161
1951-11-01,NA,2.74025878906252,8.89718017578127,6.80322580645161,12.64,21.2096774193548,6.15357142857143,10.1666666666667,17.4354838709677
1951-12-01,NA,1.42865905761721,5.87180480957034,6.71428571428571,10.8466666666667,17.8645161290323,4.71290322580645,6.80967741935484,12.9258064516129
1952-01-01,NA,-4.2170471191406,-1.37763061523435,3.07096774193548,3.48064516129032,4.98064516129032,3.07096774193548,3.07096774193548,4.43548387096774
1952-02-01,NA,-2.00705566406248,2.82410583496096,4.01612903225806,5.91290322580645,9.18387096774194,3.48064516129032,5.91290322580645,10.0233333333333
1952-03-01,NA,2.09420166015627,8.08365783691409,6.76451612903226,11.1709677419355,19.31,5.37096774193548,9.18387096774194,16.8774193548387
1952-04-01,NA,6.98526916503909,9.92293701171877,10.4892857142857,17.4354838709677,24.64,6.6741935483871,10.6344827586207,17.8645161290323
1952-05-01,NA,14.5347381591797,18.6732574462891,16.5633333333333,23.5333333333333,27.1096774193548,11.0033333333333,18.8709677419355,25.91
1952-06-01,NA,20.047006225586,24.0416809082031,21.99,26.6233333333333,29.0483870967742,17.1533333333333,24.64,27.5612903225806
1952-07-01,NA,19.814111328125,25.0309387207031,21.55,26.5774193548387,28.9193548387097,17.8645161290323,25.1766666666667,28.2
1952-08-01,NA,21.8045593261719,26.2013946533203,24.0133333333333,27.2769230769231,30.0333333333333,21.4533333333333,26.6,29.0483870967742
1952-09-01,NA,13.9401184082031,20.9567962646485,16.358064516129,23.1483870967742,26.9166666666667,12.7516129032258,21.55,26.6233333333333
1952-10-01,NA,7.10540161132815,13.6353088378906,10.4892857142857,17.4354838709677,24.64,7.09677419354839,14.5548387096774,22.8333333333333
1952-11-01,NA,1.81308898925784,8.18264160156252,6.76129032258064,11.0233333333333,18.8709677419355,5.37096774193548,9.18387096774194,16.8838709677419
1952-12-01,NA,-2.02081909179685,1.70134887695315,4.01612903225806,5.91290322580645,9.18387096774194,3.48064516129032,4.88709677419355,7.53928571428571
1953-01-01,NA,-0.722616577148415,3.95032653808596,4.71290322580645,6.80322580645161,12.64,4.01612903225806,6.6741935483871,10.6344827586207
1953-02-01,NA,0.58857116699221,5.30530700683596,6.15357142857143,10.0233333333333,16.8838709677419,4.50967741935484,6.76451612903226,11.8857142857143
1953-03-01,NA,2.95992431640627,9.2321716308594,6.80967741935484,12.7516129032258,21.2225806451613,6.15357142857143,10.4892857142857,17.6612903225806
1953-04-01,NA,7.80733642578127,12.7908416748047,10.5333333333333,17.67,25.0258064516129,6.80967741935484,12.9258064516129,21.9709677419355
1953-05-01,NA,10.178353881836,14.6858306884766,11.49,19.6193548387097,25.91,7.53928571428571,15.9066666666667,23.1483870967742
1953-06-01,NA,17.4423461914063,20.8583923339844,18.3933333333333,25.1677419354839,27.7677419354839,12.64,21.55,26.6
1953-07-01,NA,20.4276062011719,25.9692626953125,22.4233333333333,26.6633333333333,29.0483870967742,21.2096774193548,26.5733333333333,28.9193548387097
1953-08-01,NA,19.1774688720703,24.3191925048828,20.8451612903226,26.1866666666667,28.7516129032258,17.4354838709677,25.0258064516129,27.7677419354839
1953-09-01,NA,17.6475311279297,22.1375518798828,18.78,25.1677419354839,27.8838709677419,14.5548387096774,22.8333333333333,26.9
1953-10-01,NA,7.34514770507815,12.7645660400391,10.5178571428571,17.5516129032258,24.7166666666667,6.80967741935484,12.9258064516129,21.9709677419355
1953-11-01,NA,0.0628448486328352,4.65473327636721,4.98064516129032,7.55483870967742,15.68,4.43548387096774,6.7258064516129,11.1709677419355
1953-12-01,NA,-1.71433105468748,3.80205688476565,4.01612903225806,6.15357142857143,10.1666666666667,4.01612903225806,6.6741935483871,10.6344827586207
