time,observation,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1,ICHEC-EC-EARTH_DMI-HIRHAM5,ICHEC-EC-EARTH_KNMI-RACMO22E,ICHEC-EC-EARTH_SMHI-RCA4,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_min,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_pred,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_max,ICHEC-EC-EARTH_DMI-HIRHAM5_min,ICHEC-EC-EARTH_DMI-HIRHAM5_pred,ICHEC-EC-EARTH_DMI-HIRHAM5_max,ICHEC-EC-EARTH_KNMI-RACMO22E_min,ICHEC-EC-EARTH_KNMI-RACMO22E_pred,ICHEC-EC-EARTH_KNMI-RACMO22E_max,ICHEC-EC-EARTH_SMHI-RCA4_min,ICHEC-EC-EARTH_SMHI-RCA4_pred,ICHEC-EC-EARTH_SMHI-RCA4_max
1951-01-01,NA,-8.16144409179685,-7.18388977050779,-17.2390045166015,NA,-6.87741935483871,-4.08214285714286,-0.736666666666667,-6.82258064516129,-3.51666666666667,0.0709677419354838,-6.87741935483871,-5.93548387096774,-3.03225806451613,NA,NA,NA
1951-02-01,NA,-6.37521972656248,-5.92619934082029,-13.3263000488281,NA,-5.77096774193548,-2.10645161290323,3.36774193548387,-5.77096774193548,-2.59677419354839,3.00645161290323,-5.9,-2.81290322580645,3.00645161290323,NA,NA,NA
1951-03-01,NA,0.41864929199221,-1.98653259277341,-9.29695739746091,NA,-0.736666666666667,6.33,13.4354838709677,-2.59677419354839,3.12,11.2633333333333,-3.21290322580645,2.02258064516129,9.6,NA,NA,NA
1951-04-01,NA,3.76009521484377,3.06214294433596,-3.92482604980466,NA,1.11428571428571,9.48709677419355,15.3258064516129,1.11428571428571,8.95806451612903,14.9733333333333,-0.41,6.62258064516129,13.4766666666667,NA,NA,NA
1951-05-01,NA,3.46526489257815,2.7071472167969,2.32549438476565,NA,1.11428571428571,9.33,15.3258064516129,0.6,8.82,14.9066666666667,3.6,12.0133333333333,15.7806451612903,NA,NA,NA
1951-06-01,NA,6.97475585937502,4.56124267578127,6.34658203125002,NA,3.96129032258065,12.3366666666667,15.8451612903226,2.43225806451613,10.0677419354839,15.6,8.69,14.9066666666667,16.6096774193548,NA,NA,NA
1951-07-01,NA,11.4620910644531,9.34389648437502,6.78037414550784,NA,9.6,15.6,16.83,7.91666666666667,13.91,16.3903225806452,9.33,14.9870967741935,16.8193548387097,NA,NA,NA
1951-08-01,NA,8.97524414062502,8.47962341308596,4.63656005859377,NA,6.46451612903226,13.4387096774194,16.3645161290323,6.46451612903226,13.4354838709677,16.08,6.33,13.4354838709677,16.08,NA,NA,NA
1951-09-01,NA,7.47640380859377,7.15615234375002,4.29461059570315,NA,4.72903225806452,12.41,15.8967741935484,4.98387096774194,12.41,15.8967741935484,5.95806451612903,12.85,16.0322580645161,NA,NA,NA
1951-10-01,NA,3.98487243652346,2.42597351074221,-0.763922119140602,NA,1.51,9.51935483870968,15.4161290322581,0.348387096774193,8.69,14.8741935483871,1.98709677419355,9.53548387096774,15.4161290322581,NA,NA,NA
1951-11-01,NA,-0.786230468749977,-2.76244201660154,-6.56622924804685,NA,-1.55,4.72903225806452,12.41,-2.97096774193548,2.29354838709677,9.85666666666667,-1.66428571428571,4.62,12.41,NA,NA,NA
1951-12-01,NA,-12.1953948974609,-11.5246948242187,-17.5651153564453,NA,-6.87741935483871,-6.82258064516129,-3.76206896551724,-6.87741935483871,-6.87741935483871,-4.08214285714286,-6.87741935483871,-6.82258064516129,-3.51666666666667,NA,NA,NA
1952-01-01,NA,-8.24649658203123,-7.88255920410154,-14.5916198730469,NA,-6.87741935483871,-4.08214285714286,-0.736666666666667,-6.87741935483871,-4.07307692307692,-1.02758620689655,-6.82258064516129,-3.76206896551724,-0.116666666666667,NA,NA,NA
1952-02-01,NA,-3.81468811035154,-5.17694702148435,-10.2348236083984,NA,-3.59677419354839,0.155172413793103,8.69,-4.24516129032258,-1.38709677419355,4.72903225806452,-3.51666666666667,0.348387096774193,8.82,NA,NA,NA
1952-03-01,NA,-2.55080261230466,-3.07626953124998,-10.3432983398437,NA,-2.97096774193548,2.43225806451613,10.1032258064516,-3.03225806451613,2.02258064516129,9.51935483870968,-3.59677419354839,0.155172413793103,8.72903225806452,NA,NA,NA
1952-04-01,NA,1.03035888671877,0.53424987792971,-6.67093505859373,NA,-0.41,6.62258064516129,13.4766666666667,-0.668965517241379,6.33,12.9161290322581,-1.66428571428571,4.62,12.41,NA,NA,NA
1952-05-01,NA,7.4588562011719,7.49373779296877,0.65863952636721,NA,4.72903225806452,12.41,15.8967741935484,5.65483870967742,12.5,15.8967741935484,2.53548387096774,10.4366666666667,15.75,NA,NA,NA
1952-06-01,NA,8.63883361816409,8.5252624511719,4.1054626464844,NA,6.32903225806452,13.1366666666667,16.08,6.6,13.4354838709677,16.08,5.74193548387097,12.6466666666667,16.0322580645161,NA,NA,NA
1952-07-01,NA,10.4674621582031,8.87447509765627,5.11065063476565,NA,8.69,14.9066666666667,16.6096774193548,6.64666666666667,13.4766666666667,16.3645161290323,6.6,13.4766666666667,16.3645161290323,NA,NA,NA
1952-08-01,NA,9.90320739746096,9.51336059570315,5.75222167968752,NA,7.61333333333333,14.1193548387097,16.3903225806452,8.36666666666667,14.1193548387097,16.3903225806452,7.61333333333333,14.1193548387097,16.3903225806452,NA,NA,NA
