time,observation,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1,MPI-M-MPI-ESM-LR_DMI-HIRHAM5,MPI-M-MPI-ESM-LR_KNMI-RACMO22E,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009,MPI-M-MPI-ESM-LR_SMHI-RCA4,MPI-M-MPI-ESM-LR_UHOH-WRF361H
1951-01-01,NA,NA,0.756822108087363,0.466355830394605,0.912174364202656,NA,0.188034429447725,NA,NA
1951-02-01,NA,NA,4.24548356677406,4.33105457341298,6.70272135757841,NA,1.33384783548536,NA,NA
1951-03-01,NA,NA,1.62723748362623,1.72908259701217,0.482233936418197,NA,0.539491001836723,NA,NA
1951-04-01,NA,NA,2.1618393540848,0.162239591054458,0.664454648358515,NA,1.72158237837721,NA,NA
1951-05-01,NA,NA,3.67458024993539,3.64528714853805,3.89743834384717,NA,3.92314275959507,NA,NA
1951-06-01,NA,NA,7.08034940762445,2.78151045640698,4.50027152546681,NA,4.65054259984754,NA,NA
1951-07-01,NA,NA,3.00217454787344,0.728452625298814,1.6310520877596,NA,1.02045269304654,NA,NA
1951-08-01,NA,NA,3.60737739829347,0.964591715455754,2.27306464221328,NA,0.565921362431254,NA,NA
1951-09-01,NA,NA,4.70530052552931,3.32265630131587,4.50834369112272,NA,2.83100896049291,NA,NA
1951-10-01,NA,NA,2.14424097212031,2.13419862047886,2.91759734682273,NA,2.04039131349418,NA,NA
1951-11-01,NA,NA,6.08810599660501,1.93528653035173,4.29779599362519,NA,2.47423911932856,NA,NA
1951-12-01,NA,NA,7.85146522102877,5.50239405711181,7.07284875679761,6.9572449719999,3.37081819307059,NA,NA
1952-01-01,NA,NA,7.39547763951123,3.94871461030561,6.47128464770503,5.09651370230131,0.899191948701628,NA,NA
1952-02-01,NA,NA,2.08047326013912,1.19490838042111,2.50781838549301,2.5503527460387,0.825327252096031,NA,NA
1952-03-01,NA,NA,2.8076833288651,1.82497483692714,1.87172811711207,3.81884087109938,1.5297129531973,NA,NA
1952-04-01,NA,NA,5.09750334313139,1.59570317264297,2.12747903860873,1.85045406105928,3.37457716232166,NA,NA
1952-05-01,NA,NA,3.51589094207156,0.862147183852358,2.2511389979627,1.82246924377978,2.60795449430589,NA,NA
1952-06-01,NA,NA,3.11263792100362,0.441927073188708,1.99661923397798,4.2788646533154,3.37526914081536,NA,NA
1952-07-01,NA,NA,8.28679183032364,2.7198840980418,3.62387416244019,7.47573928674683,9.6826754277572,NA,NA
1952-08-01,NA,NA,1.02954286703607,0.327494955672591,0.854840633837739,1.3884388958104,1.37699861952569,NA,NA
1952-09-01,NA,NA,5.88662788504735,4.29374997038394,8.20796097395942,3.65164233371615,4.26888432120904,NA,NA
1952-10-01,NA,NA,6.20085260015912,6.18434978532605,9.20742953312583,6.09449316398241,3.85009518067818,NA,NA
1952-11-01,NA,NA,8.60549483913928,8.90872396412306,12.8969043726102,9.36585426097736,5.18549022381194,NA,NA
1952-12-01,NA,NA,5.34805645002052,3.06527212669607,3.35383815981913,3.61561544705182,1.15230893570697,NA,NA
1953-01-01,NA,NA,1.02111135347513,1.31993445902481,1.22744738036999,1.18357479659608,0.735159118630691,NA,NA
1953-02-01,NA,NA,1.75324837036896,1.92257252565469,2.29492687212769,1.5789465236594,0.854108284693211,NA,NA
1953-03-01,NA,NA,6.75952818710357,3.92149705148768,6.57309993985109,5.75923406286165,3.84037950716447,NA,NA
1953-04-01,NA,NA,2.5032231642399,0.391145833418705,0.544792950131523,2.06007639644668,2.81855421198998,NA,NA
1953-05-01,NA,NA,4.21747360378504,3.23865933751222,3.6984709528042,3.49286918062717,3.10566540865693,NA,NA
1953-06-01,NA,NA,4.32795599335805,1.75546865793876,2.59362584038172,4.77755656465888,4.66252343030646,NA,NA
1953-07-01,NA,NA,5.15771615901031,2.42187494732207,4.44330612081103,4.27209071349353,7.58253405801952,NA,NA
1953-08-01,NA,NA,2.66332479659468,1.31350809970172,4.32914271368645,4.24924065009691,2.2909713734407,NA,NA
1953-09-01,NA,NA,0.73252364200016,2.50312501739245,1.96003057644702,0.94529134221375,1.32177027262514,NA,NA
1953-10-01,NA,NA,4.90283783292398,5.01751515548676,4.75883212639019,3.41947419801727,2.33678001968656,NA,NA
1953-11-01,NA,NA,5.46103297965601,2.6712240462075,5.7437630079221,5.12617542408407,1.64164715388324,NA,NA
1953-12-01,NA,NA,4.04134158161469,3.83530734252417,3.15222457575146,4.88118879147805,2.22393746953458,NA,NA
1954-01-01,NA,NA,4.67945466516539,2.28112403856358,3.51664091285784,3.90075899194926,2.4043767945841,NA,NA
1954-02-01,NA,NA,4.25845953868702,2.93024552083807,4.57506610255223,3.36975264362991,2.89916782057844,NA,NA
1954-03-01,NA,0.0456887715746865,2.6249956630636,0.430065527689294,2.0378071203595,2.25074067420792,1.14482411881909,NA,NA
1954-04-01,NA,NA,0.702914794965181,2.28554693312617,2.67708951869281,2.00016454327852,2.42590623674914,NA,NA
1954-05-01,NA,NA,5.91208037221804,3.35836709855357,7.27244534064084,6.48206744226627,7.6741213328205,NA,NA
1954-06-01,NA,NA,6.00825453875586,2.39505201898282,4.93985514622182,5.40546033298597,6.35317572159693,NA,NA
1954-07-01,NA,NA,4.12036920315586,3.23840709461365,4.29297862574458,5.2221866149921,5.82597800530493,NA,NA
