time,observation,MOHC-HadGEM2-ES_CLMcom-CCLM4-8-17,MOHC-HadGEM2-ES_CLMcom-ETH-COSMO-crCLIM-v1-1,MOHC-HadGEM2-ES_DMI-HIRHAM5,MOHC-HadGEM2-ES_GERICS-REMO2015,MOHC-HadGEM2-ES_KNMI-RACMO22E,MOHC-HadGEM2-ES_MOHC-HadREM3-GA7-05,MOHC-HadGEM2-ES_SMHI-RCA4,MOHC-HadGEM2-ES_UHOH-WRF361H
1951-01-01,NA,NA,0.361414793951553,0.453255210413772,0.0947179573813628,0.169271244931224,NA,NA,NA
1951-02-01,NA,NA,1.57759498106316,0.207812497501436,0.712546348222531,1.6476596108987,NA,NA,NA
1951-03-01,NA,NA,1.88528534781653,1.19869793707039,1.10876815742813,2.17865071463166,NA,NA,NA
1951-04-01,NA,NA,0.570818489359226,0.122135417223035,1.58136102254502,0.496094880145392,NA,NA,NA
1951-05-01,NA,6.6424217497115,8.372337219771,2.21406243508682,6.09933732775971,8.23595600668341,NA,NA,NA
1951-06-01,NA,NA,4.98053697519936,3.11510422397987,6.41003677155823,3.62943568616174,NA,NA,NA
1951-07-01,NA,NA,2.25385131634539,1.87473963014781,7.53193806158379,4.27774417621549,NA,NA,NA
1951-08-01,NA,NA,0.327485462184995,0.194791666035599,2.56639704457484,0.646616139601974,NA,NA,NA
1951-09-01,NA,NA,0.711217161733657,0.524869773653336,3.40835225069895,3.13854853156954,NA,NA,NA
1951-10-01,NA,NA,0.272559109362192,3.13945322704967,1.73058564250823,3.87058107589837,NA,NA,NA
1951-11-01,NA,NA,1.8362697592238,1.38346350286156,1.59244234382641,2.88659512298182,NA,NA,NA
1951-12-01,NA,NA,2.24671248870436,1.61276047001593,0.869105451056384,1.4798211544985,2.33054184063803,NA,NA
1952-01-01,NA,NA,1.13625748635968,1.00820311781717,0.64961129319272,0.652605665891315,0.74547347612679,NA,NA
1952-02-01,NA,NA,0.730651809135452,0.499088560354721,0.0540833822014974,1.0260439987178,0.56736266342341,NA,NA
1952-03-01,NA,NA,2.38878786913119,1.52617176936474,2.00852085545193,2.9394598910585,4.08783285529353,NA,NA
1952-04-01,NA,NA,4.16456765960902,1.73463548180735,4.44556593429297,2.8242252767086,4.47890647337772,NA,NA
1952-05-01,NA,NA,5.28042926453054,4.13776036875788,7.44603906059638,4.01498290593736,4.34184711193666,NA,NA
1952-06-01,NA,NA,5.10503526893444,1.14596350431384,12.1445133117959,3.63125843578018,6.09451469499618,NA,NA
1952-07-01,NA,NA,4.69370049540885,1.8733073167823,8.66178728174418,5.50860677612945,6.72188034513965,NA,NA
1952-08-01,NA,NA,1.33394154254347,1.7548176983837,10.9212641254999,4.06706658541225,4.50973102706484,NA,NA
1952-09-01,NA,NA,3.53922702488489,1.98411458695773,4.8403806053102,3.04297581897117,3.12790773168672,NA,NA
1952-10-01,NA,NA,4.06797509203898,3.72369797332794,3.19985011738027,4.89545379532501,3.61259595811134,NA,NA
1952-11-01,NA,NA,1.09747250826331,0.441015635760778,0.533331550468574,2.38021361437859,1.5597008226905,NA,NA
1952-12-01,NA,NA,1.60879514878616,2.24739578407025,0.349408572219545,2.36016183625907,1.46688753738999,NA,NA
1953-01-01,NA,NA,1.10138710588217,0.943098931020359,0.933211343362927,1.42630523041589,1.87329520558706,NA,NA
1953-02-01,NA,NA,6.19113425491378,3.1941404697136,4.52872358146124,5.88100294698961,6.80076400749385,NA,NA
1953-03-01,NA,NA,1.88046016119188,1.30494795994309,2.56962991843466,1.57578496146016,2.98654358193744,NA,NA
1953-04-01,NA,NA,3.8769694219809,1.6093749931315,6.45474238554016,4.02006116055418,5.4708732815925,NA,NA
1953-05-01,NA,NA,2.1068018002552,0.441927083011251,5.26665114448406,1.8806030988344,2.62222122692037,NA,NA
1953-06-01,NA,NA,1.3659548596479,0.978776066403952,5.2903396601323,3.60586747701745,3.46749181626365,NA,NA
1953-07-01,NA,NA,1.57818386214785,0.87994793721009,4.35462191817351,1.61953492061002,1.34798011713428,NA,NA
1953-08-01,NA,NA,5.51200238987803,5.6372394959908,8.37112519657239,9.88075226778165,8.79641269566491,NA,NA
1953-09-01,NA,NA,1.7036047676811,1.9667968939757,2.30893232510425,2.48516202264,2.32895970402751,NA,NA
1953-10-01,NA,NA,1.42122351826401,0.386458339198725,1.52192945242859,0.366927922004834,0.245196903779288,NA,NA
1953-11-01,NA,NA,3.72119866660796,5.14960937871365,3.1336884945631,5.55444001802243,4.95648196083494,NA,NA
1953-12-01,NA,NA,3.73564880574122,1.74453129584435,2.90840415400453,4.12526963045821,4.81283976696432,NA,NA
1954-01-01,NA,NA,3.6368167377077,2.10976561502321,2.53641691524535,3.59532050206326,3.34286795114167,NA,NA
1954-02-01,NA,NA,1.95236954314169,2.53151035867631,2.16392754809931,3.96446195372846,2.50380426587071,NA,NA
1954-03-01,NA,NA,4.44132919656113,2.30494796778657,3.46306727151386,3.86042535246816,4.37205622438341,NA,NA
1954-04-01,NA,NA,5.41721123736352,1.45403646893101,6.95764148840681,3.34115356381517,4.24334743875079,NA,NA
1954-05-01,NA,NA,3.88189782388508,1.7186197816045,5.88853455847129,3.9432381890947,5.03577502677217,NA,NA
1954-06-01,NA,NA,2.94205461395904,0.477083338773809,6.10128800617531,2.66875603410881,3.17308459198102,NA,NA
1954-07-01,NA,NA,1.80712776782457,0.345052092779952,3.34996485617012,2.13984848815016,1.99834085069597,NA,NA
1954-08-01,NA,NA,3.32730448571965,1.66888023231877,4.99745658016764,4.43112970388029,3.04565509431995,NA,NA
