time,observation,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1,MPI-M-MPI-ESM-LR_DMI-HIRHAM5,MPI-M-MPI-ESM-LR_KNMI-RACMO22E,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009,MPI-M-MPI-ESM-LR_SMHI-RCA4,MPI-M-MPI-ESM-LR_UHOH-WRF361H,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17_min,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17_pred,MPI-M-MPI-ESM-LR_CLMcom-CCLM4-8-17_max,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1_min,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1_pred,MPI-M-MPI-ESM-LR_CLMcom-ETH-COSMO-crCLIM-v1-1_max,MPI-M-MPI-ESM-LR_DMI-HIRHAM5_min,MPI-M-MPI-ESM-LR_DMI-HIRHAM5_pred,MPI-M-MPI-ESM-LR_DMI-HIRHAM5_max,MPI-M-MPI-ESM-LR_KNMI-RACMO22E_min,MPI-M-MPI-ESM-LR_KNMI-RACMO22E_pred,MPI-M-MPI-ESM-LR_KNMI-RACMO22E_max,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05_min,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05_pred,MPI-M-MPI-ESM-LR_MOHC-HadREM3-GA7-05_max,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009_min,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009_pred,MPI-M-MPI-ESM-LR_MPI-CSC-REMO2009_max,MPI-M-MPI-ESM-LR_SMHI-RCA4_min,MPI-M-MPI-ESM-LR_SMHI-RCA4_pred,MPI-M-MPI-ESM-LR_SMHI-RCA4_max,MPI-M-MPI-ESM-LR_UHOH-WRF361H_min,MPI-M-MPI-ESM-LR_UHOH-WRF361H_pred,MPI-M-MPI-ESM-LR_UHOH-WRF361H_max
1951-01-01,NA,-1.09734191894529,0.235818481445335,2.27083740234377,0.0195098876953352,NA,6.40532836914065,NA,NA,5.12258064516129,7.22666666666667,12.01,5.53225806451613,7.44838709677419,12.5827586206897,5.79032258064516,8.56785714285714,16.6806451612903,5.63225806451613,7.80384615384615,15.3161290322581,NA,NA,NA,6.2258064516129,11.3233333333333,19.9322580645161,NA,NA,NA,NA,NA,NA
1951-02-01,NA,0.430230712890648,2.0101257324219,2.32834777832034,0.117761230468773,NA,7.77211914062502,NA,NA,5.8741935483871,8.85806451612903,17.8933333333333,5.95806451612903,9.36896551724138,18.4645161290323,5.79032258064516,8.56785714285714,16.7354838709677,5.70322580645161,8.35,16.0967741935484,NA,NA,NA,7.32413793103448,12.441935483871,22.8193548387097,NA,NA,NA,NA,NA,NA
1951-03-01,NA,2.30765686035159,5.45731506347659,5.31374511718752,3.40767822265627,NA,10.1744934082031,NA,NA,7.32413793103448,12.2533333333333,21.0566666666667,7.62258064516129,13.4290322580645,23.36,7.44838709677419,12.5827586206897,22.7548387096774,7.44838709677419,12.5827586206897,22.7548387096774,NA,NA,NA,7.70967741935484,15.3161290322581,25.12,NA,NA,NA,NA,NA,NA
1951-04-01,NA,8.43087158203127,11.3909088134766,12.0305725097656,9.7459655761719,NA,16.3771759033203,NA,NA,11.0666666666667,19.4032258064516,27.141935483871,11.6357142857143,19.9322580645161,27.6161290322581,12.0266666666667,20.5064516129032,27.9548387096774,11.3233333333333,19.83,27.6161290322581,NA,NA,NA,12.2533333333333,21.2333333333333,28.6866666666667,NA,NA,NA,NA,NA,NA
1951-05-01,NA,12.1733795166016,16.562387084961,15.0837799072266,15.0529113769531,NA,21.8481536865235,NA,NA,12.71,22.8193548387097,28.8466666666667,17.5677419354839,25.5258064516129,29.7774193548387,13.9033333333333,24.3233333333333,29.3666666666667,13.9033333333333,24.16,29.3666666666667,NA,NA,NA,17.8933333333333,26.17,30.1838709677419,NA,NA,NA,NA,NA,NA
1951-06-01,NA,14.4659210205078,17.362191772461,17.3587127685547,17.2526947021485,NA,21.4295135498047,NA,NA,16.3258064516129,25.12,29.6161290322581,18.4645161290323,26.141935483871,29.9366666666667,17.8933333333333,26.0612903225806,29.9366666666667,17.5677419354839,25.7967741935484,29.9366666666667,NA,NA,NA,16.7354838709677,26.0612903225806,29.9741935483871,NA,NA,NA,NA,NA,NA
1951-07-01,NA,21.4370361328125,20.5978637695313,21.2536865234375,22.677133178711,NA,26.2929473876953,NA,NA,26.2833333333333,29.9741935483871,32.0354838709677,24.16,29.1032258064516,31.2322580645161,24.3233333333333,29.3666666666667,31.4064516129032,26.0612903225806,29.9366666666667,31.6129032258065,NA,NA,NA,24.69,29.6161290322581,31.6129032258065,NA,NA,NA,NA,NA,NA
1951-08-01,NA,20.4722686767578,19.7349029541016,22.2331481933594,21.3709197998047,NA,31.2171264648438,NA,NA,25.0633333333333,29.6161290322581,31.5774193548387,21.2333333333333,28.2333333333333,30.8225806451613,26.141935483871,29.9741935483871,31.6129032258065,24.16,29.3666666666667,31.4064516129032,NA,NA,NA,29.7774193548387,31.6129032258065,33.041935483871,NA,NA,NA,NA,NA,NA
1951-09-01,NA,18.7755676269531,18.2155395507813,18.6421752929688,18.4127593994141,NA,23.3296905517578,NA,NA,21.1903225806452,28.2333333333333,30.8225806451613,19.2266666666667,26.8451612903226,30.1903225806452,19.2032258064516,26.8451612903226,30.1903225806452,18.5433333333333,26.2833333333333,30.1838709677419,NA,NA,NA,19.5633333333333,27.6161290322581,30.4354838709677,NA,NA,NA,NA,NA,NA
1951-10-01,NA,10.8694396972656,11.8667694091797,12.4750915527344,12.8232818603516,NA,17.5716339111328,NA,NA,12.2633333333333,21.0566666666667,28.01,12.0266666666667,20.3258064516129,27.6933333333333,12.2633333333333,21.0566666666667,28.01,12.4433333333333,21.6129032258065,28.4433333333333,NA,NA,NA,12.5827586206897,23.36,29.3666666666667,NA,NA,NA,NA,NA,NA
