time,observation,CCCma-CanESM2_CLMcom-CCLM4-8-17,CCCma-CanESM2_GERICS-REMO2015
1951-01-01,NA,2.40358116861898,2.55737075640354
1951-02-01,NA,4.78949857642874,2.9036163323326
1951-03-01,NA,2.60897368134465,1.14846376382047
1951-04-01,NA,1.21738992165774,1.34644080681028
1951-05-01,NA,3.72126325964928,5.08315111510456
1951-06-01,NA,5.09116018074565,8.54683712823316
1951-07-01,NA,2.28301927854773,4.99448514310643
1951-08-01,NA,0.985775227309205,5.41960950940847
1951-09-01,NA,1.33333171979757,4.97570396983065
1951-10-01,NA,1.43205680069514,1.52561184513615
1951-11-01,NA,0.101317623193609,0.154884477160522
1951-12-01,NA,3.04268381441943,1.57369723892771
1952-01-01,NA,2.8741629270371,0.978084412054159
1952-02-01,NA,7.54822430899367,4.91427174420096
1952-03-01,NA,1.63983485545032,2.88463815813884
1952-04-01,NA,6.64881131378934,2.78393540647812
1952-05-01,NA,6.15501904394478,4.75576356402598
1952-06-01,NA,5.35535059170797,6.86173009453341
1952-07-01,NA,0.626859288240667,3.08191112126224
1952-08-01,NA,1.26813223469071,4.35336793307215
1952-09-01,NA,1.14313434678479,1.82798377645668
1952-10-01,NA,2.33579297200777,0.853022029332351
1952-11-01,NA,2.51895887777209,2.46314365358558
1952-12-01,NA,4.80095606180839,3.62370757211465
1953-01-01,NA,2.72186801594216,0.400786924365093
1953-02-01,NA,1.44178371119779,0.160756240984483
1953-03-01,NA,5.97032003570348,2.54493541724514
1953-04-01,NA,6.31567938253284,3.82531840587035
1953-05-01,NA,5.27264415286481,6.92290489096195
1953-06-01,NA,2.75531990337186,5.64303322462365
1953-07-01,NA,2.61259757098742,6.27156657865271
1953-08-01,NA,2.41078077815473,9.26833857083693
1953-09-01,NA,0.932369001384359,2.57549609814305
1953-10-01,NA,0.353281581192277,1.05144975022995
1953-11-01,NA,4.48914973530918,2.17326053534634
1953-12-01,NA,6.87684455187991,4.76415814482607
1954-01-01,NA,1.22638132015709,0.906160021258984
1954-02-01,NA,6.03770582238212,2.04000776284374
1954-03-01,NA,1.54230454936624,0.516949032316916
1954-04-01,NA,1.63635673234239,1.77657753811218
1954-05-01,NA,9.45235298713669,10.4214912629686
1954-06-01,NA,0.85165461350698,3.08434192556888
1954-07-01,NA,1.97813309059711,4.59829421597533
1954-08-01,NA,0.52813954098383,3.57160416897386
1954-09-01,NA,0.171040263783004,1.80451324267779
1954-10-01,NA,5.16320641036145,4.76425417000428
1954-11-01,NA,2.87335292086937,3.02559211850166
1954-12-01,NA,9.16642898228019,5.47213198151439
1955-01-01,NA,1.30029740830651,0.379332369266194
1955-02-01,NA,0.839490494399797,3.63831935101189
1955-03-01,NA,2.21110168495215,2.70854707632679
1955-04-01,NA,2.41081692511216,4.97813037363812
1955-05-01,NA,8.73051050584763,8.15529925748706
1955-06-01,NA,3.38656412204728,8.58289859024808
1955-07-01,NA,5.21610606811009,8.62076708581299
1955-08-01,NA,1.07632496656151,4.92625556071289
1955-09-01,NA,1.73957546940073,4.10574713023379
1955-10-01,NA,0.589420086907921,1.62043026502943
1955-11-01,NA,3.80079143797047,3.08666963246651
1955-12-01,NA,9.64256204897538,4.67416447936557
1956-01-01,NA,5.15482173068449,3.21145199413877
1956-02-01,NA,5.38455670466647,3.29603186692111
1956-03-01,NA,4.15678176213987,2.57223792141303
1956-04-01,NA,2.38361005322076,3.99937386391684
1956-05-01,NA,2.6653151580831,8.34478978067636
1956-06-01,NA,6.32588854059577,7.78148282552138
1956-07-01,NA,2.97961413161829,7.43429381400347
1956-08-01,NA,1.06258570449427,4.52887021237984
1956-09-01,NA,0.65403403059463,2.92768454819452
1956-10-01,NA,1.26296805246966,1.01596548047382
1956-11-01,NA,3.39166492922232,1.95946244057268
1956-12-01,NA,4.80132758966647,1.44313607888762
1957-01-01,NA,1.90647870185785,0.110490709266742
1957-02-01,NA,1.01291110186139,0.0983288751285727
1957-03-01,NA,3.27575939591043,1.40749623969896
1957-04-01,NA,3.08664275798947,4.73322970792651
1957-05-01,NA,5.21074217394926,8.06070738472044
1957-06-01,NA,4.57973338197917,8.44083350384608
1957-07-01,NA,7.4884106812533,9.38250795006752
1957-08-01,NA,2.19326206133701,2.81739051570185
1957-09-01,NA,0.563326737756142,0.893564299622085
1957-10-01,NA,3.50774931139313,5.27146199019626
1957-11-01,NA,0.553971335466485,0.304554922695388
1957-12-01,NA,4.42738118581474,2.27086470695212
1958-01-01,NA,2.61258452665061,2.56045102723874
1958-02-01,NA,0.752140861004591,0.597810385079356
1958-03-01,NA,1.56818121322431,0.500931902934099
1958-04-01,NA,0.551709753926843,2.36809672205709
1958-05-01,NA,3.08841710211709,4.68853588099591
1958-06-01,NA,4.68688977998681,5.93478160444647
1958-07-01,NA,2.67384662583936,9.06963277375326
1958-08-01,NA,1.81808398920111,3.62231049221009
1958-09-01,NA,4.02442826307379,1.43854101479519
1958-10-01,NA,2.24297536478844,1.80010020994814
1958-11-01,NA,2.17935664113611,2.5966809655074
1958-12-01,NA,4.67063637915999,2.87290446285624
1959-01-01,NA,2.92589613818564,0.97885752475122
1959-02-01,NA,0.529953646764625,0.0193486105217744
1959-03-01,NA,2.92395206051879,2.33326252782717
1959-04-01,NA,3.7661662674509,4.25524355960079
1959-05-01,NA,6.33458989905193,7.01925036264583
1959-06-01,NA,2.84479666734114,9.79389741551131
1959-07-01,NA,4.14400302688591,5.84468924207613
1959-08-01,NA,1.23247675801395,4.5239282946568
1959-09-01,NA,1.25209029356483,2.75167864747345
