time,observation,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1,ICHEC-EC-EARTH_DMI-HIRHAM5,ICHEC-EC-EARTH_KNMI-RACMO22E,ICHEC-EC-EARTH_SMHI-RCA4
1951-01-01,NA,1.71854065119987,2.2300907621684,0.714215355401393,NA
1951-02-01,NA,4.28728610859253,1.44335936493007,1.47628684644587,NA
1951-03-01,NA,2.81542254961096,1.86680945917033,0.85559667495545,NA
1951-04-01,NA,3.04316849797033,1.13632813008735,1.25000276748324,NA
1951-05-01,NA,2.086511530797,2.83127511211205,4.99194684089161,NA
1951-06-01,NA,4.4822626397945,3.39518218534067,4.04623352224007,NA
1951-07-01,NA,6.04131266009063,1.60383065885981,4.82271747314371,NA
1951-08-01,NA,4.7142363677267,2.12537799670827,3.40109150565695,NA
1951-09-01,NA,4.64942471589893,2.92513013700955,3.89493084512651,NA
1951-10-01,NA,3.47471775021404,0.313004028430441,2.10358350304887,NA
1951-11-01,NA,0.699372235976625,0.160286458230985,0.615366019337671,NA
1951-12-01,NA,0.178289165523893,0.00428427423457833,0.206275657546939,NA
1952-01-01,NA,2.51715726626571,0.323840724195179,0.440273182903184,NA
1952-02-01,NA,6.61130680236965,4.77653572743293,7.87313265027478,NA
1952-03-01,NA,2.58393586263992,1.2174899544334,1.63911670970265,NA
1952-04-01,NA,1.77682734502014,0.785286461905343,0.465626069490099,NA
1952-05-01,NA,4.1482545377221,0.663180428819032,1.18447847053176,NA
1952-06-01,NA,10.2698167436756,3.34700520616025,4.58438518107869,NA
1952-07-01,NA,4.15800070040859,1.35194048780249,4.14038235903718,NA
1952-08-01,NA,4.73838614998385,3.39049895410426,3.069815642084,NA
1952-09-01,NA,1.43753058946459,2.82682282850146,2.97682924428955,NA
1952-10-01,NA,2.02036307018716,0.195060479563836,1.75756443495629,NA
1952-11-01,NA,0.225431163016765,0.0748697907511087,0.221354655514006,NA
1952-12-01,NA,0.0732999323190597,0.395287302308134,0.437753013102338,NA
1953-01-01,NA,2.46978251379915,2.82169856509427,1.73299295129254,NA
1953-02-01,NA,11.0057131620124,5.23451461340301,8.51313276216388,NA
1953-03-01,NA,2.84378109499812,0.815650220465614,2.19619939452969,NA
1953-04-01,NA,3.82336709881201,1.55481772235362,2.29167199577205,NA
1953-05-01,NA,5.28522785170935,1.56287806166802,2.55179508822039,NA
1953-06-01,NA,3.58428923645988,1.20950524869841,2.60794867936056,NA
1953-07-01,NA,4.22069005435333,1.43409780721413,3.86165175586939,NA
1953-08-01,NA,3.61713644815609,2.81640613975469,2.98564187251031,NA
1953-09-01,NA,5.14830726315267,2.93072914355434,4.10144171328284,NA
1953-10-01,NA,4.5443807146512,1.89024694991531,3.58418126706965,NA
1953-11-01,NA,5.32906672451645,3.17239583528135,4.52735392609611,NA
1953-12-01,NA,2.14363323175348,0.615045372251188,1.14503789664013,NA
1954-01-01,NA,2.97712054161821,1.15045363418176,2.84552062803414,NA
1954-02-01,NA,4.69812755472958,1.38099890900776,2.45982709166128,NA
1954-03-01,NA,4.37972629442811,1.60609881168057,3.23967467411421,NA
1954-04-01,NA,6.21588014764711,6.10690115718171,6.99689142638817,NA
1954-05-01,NA,4.86424985574558,1.05670361226657,2.84249646356329,NA
1954-06-01,NA,3.70707322144881,2.57239586790092,2.12760897120461,NA
1954-07-01,NA,3.06868149200454,1.57547881244682,2.17918816488236,NA
1954-08-01,NA,5.94430915662088,3.8757559057558,4.27130506723188,NA
1954-09-01,NA,2.30374979437329,0.491276019238285,1.39427395770326,NA
1954-10-01,NA,3.24948212946765,1.73286290082615,2.50996040704194,NA
1954-11-01,NA,0.984165508998558,0.154687498343264,1.21406522666803,NA
1954-12-01,NA,2.70658193912823,2.69556454295525,3.44784075859934,NA
1955-01-01,NA,4.75590736605227,0.628906237398041,3.87765511404723,NA
1955-02-01,NA,2.27937770832796,2.08677461778279,1.37611922691576,NA
1955-03-01,NA,2.03700324345846,2.52885583613534,1.34828933078097,NA
1955-04-01,NA,3.53358998545446,1.40598957950715,1.48971701273695,NA
1955-05-01,NA,4.6524278994184,1.34223791756085,3.70212533161975,NA
1955-06-01,NA,5.17054675729014,2.94010424986482,2.70859996089712,NA
1955-07-01,NA,3.56788213248365,1.06880042731063,4.13748423743527,NA
1955-08-01,NA,2.88728600135073,0.821194574382389,2.93045026191976,NA
1955-09-01,NA,3.70832846383564,5.10104165878147,2.21549951238558,NA
1955-10-01,NA,3.01558931241743,1.90309986501234,4.72065135254525,NA
1955-11-01,NA,3.28461540048011,1.49479169194819,2.88958997698501,NA
1955-12-01,NA,4.27910573780537,3.01638100936543,6.04751830687746,NA
1956-01-01,NA,0.465339938818943,1.37651208933676,0.355343539195019,NA
1956-02-01,NA,0.131986347150814,0.00282866363941007,0.679689038952347,NA
1956-03-01,NA,2.42241475498304,4.66116438328754,2.35181998286862,NA
1956-04-01,NA,3.86526550864801,1.1194010010513,2.05312973703258,NA
1956-05-01,NA,6.21795121114701,2.22807464597281,6.21195914573036,NA
1956-06-01,NA,4.72468016669154,1.7651041795034,4.62058353004977,NA
1956-07-01,NA,3.36406641290523,1.94581657124218,2.81313656887505,NA
1956-08-01,NA,6.05221803998575,1.36101309908554,4.84514744603075,NA
1956-09-01,NA,2.84898429235909,2.13567701139254,3.05873078468721,NA
1956-10-01,NA,2.91852577356622,1.24621977229253,2.97858535777777,NA
1956-11-01,NA,6.10389561625198,1.30260413425276,3.95964442868717,NA
1956-12-01,NA,0.379790463193785,0.131174391208333,0.483116030227393,NA
