time,observation,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1,ICHEC-EC-EARTH_DMI-HIRHAM5,ICHEC-EC-EARTH_KNMI-RACMO22E,ICHEC-EC-EARTH_SMHI-RCA4,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_min,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_pred,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_max,ICHEC-EC-EARTH_DMI-HIRHAM5_min,ICHEC-EC-EARTH_DMI-HIRHAM5_pred,ICHEC-EC-EARTH_DMI-HIRHAM5_max,ICHEC-EC-EARTH_KNMI-RACMO22E_min,ICHEC-EC-EARTH_KNMI-RACMO22E_pred,ICHEC-EC-EARTH_KNMI-RACMO22E_max,ICHEC-EC-EARTH_SMHI-RCA4_min,ICHEC-EC-EARTH_SMHI-RCA4_pred,ICHEC-EC-EARTH_SMHI-RCA4_max
1951-01-01,NA,-2.66756286621091,0.231408691406273,-4.00852050781248,NA,3.07096774193548,3.48064516129032,4.88709677419355,3.07096774193548,4.01612903225806,5.37096774193548,3.07096774193548,3.07096774193548,4.43548387096774,NA,NA,NA
1951-02-01,NA,-0.754965209960915,3.05697021484377,0.210855102539085,NA,3.07096774193548,4.80967741935484,7.45714285714286,4.50967741935484,6.76451612903226,11.49,4.01612903225806,6.47741935483871,10.5333333333333,NA,NA,NA
1951-03-01,NA,7.81350097656252,8.13111267089846,4.37610778808596,NA,6.80967741935484,12.9258064516129,21.9709677419355,7.06451612903226,12.7516129032258,21.2096774193548,6.71428571428571,10.8466666666667,18.78,NA,NA,NA
1951-04-01,NA,12.398812866211,13.9337097167969,12.1174102783203,NA,10.17,17.4354838709677,25.0258064516129,11.1633333333333,18.8709677419355,25.1677419354839,10.5178571428571,17.67,25.06,NA,NA,NA
1951-05-01,NA,12.08974609375,12.3314147949219,14.4964385986328,NA,10.0233333333333,17.1533333333333,24.64,10.4892857142857,17.4354838709677,24.43,12.64,21.2225806451613,26.5774193548387,NA,NA,NA
1951-06-01,NA,16.0308776855469,14.0706420898438,18.8217254638672,NA,12.9258064516129,21.9709677419355,26.6633333333333,11.1709677419355,18.8709677419355,25.1677419354839,19.31,26.1516129032258,28.7516129032258,NA,NA,NA
1951-07-01,NA,18.9945922851563,19.4894500732422,18.1701599121094,NA,17.6612903225806,25.06,27.7677419354839,18.78,25.1387096774194,27.7677419354839,17.67,25.06,27.7677419354839,NA,NA,NA
1951-08-01,NA,16.5190216064453,17.8305755615235,16.6892486572266,NA,13.0838709677419,22.4233333333333,26.7161290322581,16.5633333333333,23.1483870967742,26.9166666666667,16.4064516129032,23.5333333333333,27.2096774193548,NA,NA,NA
1951-09-01,NA,15.3984313964844,16.9114318847656,15.7402893066406,NA,11.9709677419355,21.2225806451613,26.5774193548387,14.7516129032258,22.8333333333333,26.6633333333333,14.5548387096774,22.4233333333333,26.7161290322581,NA,NA,NA
1951-10-01,NA,10.0925384521485,11.4616027832031,10.2600036621094,NA,7.53928571428571,15.9066666666667,23.1483870967742,10.0233333333333,16.8774193548387,23.9322580645161,9.18387096774194,16.8774193548387,24.0133333333333,NA,NA,NA
1951-11-01,NA,3.95659790039065,5.77169189453127,5.28128967285159,NA,6.15357142857143,10.4892857142857,17.6612903225806,6.6741935483871,10.5178571428571,17.5516129032258,6.76129032258064,11.1709677419355,19.6193548387097,NA,NA,NA
1951-12-01,NA,-6.44154968261716,-4.52806701660154,-3.14058532714841,NA,3.07096774193548,3.07096774193548,3.48064516129032,3.07096774193548,3.07096774193548,3.48064516129032,3.07096774193548,3.48064516129032,4.88709677419355,NA,NA,NA
1952-01-01,NA,-1.94719543457029,-0.655218505859352,0.468225097656273,NA,3.07096774193548,3.48064516129032,5.91290322580645,3.07096774193548,3.07096774193548,4.71290322580645,4.43548387096774,6.71428571428571,10.8466666666667,NA,NA,NA
1952-02-01,NA,0.522088623046898,3.5656677246094,0.66474304199221,NA,4.43548387096774,6.71428571428571,11.0233333333333,4.80967741935484,7.09677419354839,12.9258064516129,4.43548387096774,6.7258064516129,11.0233333333333,NA,NA,NA
1952-03-01,NA,4.16922912597659,6.83991394042971,1.87091979980471,NA,6.47741935483871,10.5178571428571,17.67,6.76129032258064,11.1633333333333,18.78,4.80967741935484,7.11071428571429,14.5548387096774,NA,NA,NA
1952-04-01,NA,9.95317993164065,12.0850463867188,5.40879211425784,NA,7.53928571428571,15.68,23.1,10.17,17.1533333333333,24.0645161290323,6.76129032258064,11.49,19.7129032258065,NA,NA,NA
1952-05-01,NA,15.5353637695313,18.3863159179688,14.7865386962891,NA,11.9709677419355,21.4533333333333,26.5774193548387,17.01,24.0133333333333,27.2096774193548,12.7516129032258,21.55,26.6,NA,NA,NA
1952-06-01,NA,15.6675201416016,17.8721099853516,16.5411926269531,NA,12.7516129032258,21.55,26.6,16.5633333333333,23.1935483870968,26.9166666666667,16.3096774193548,23.1935483870968,27.1096774193548,NA,NA,NA
1952-07-01,NA,18.7082305908203,19.0774322509766,17.4245086669922,NA,17.5516129032258,25.0258064516129,27.7677419354839,17.67,24.7166666666667,27.4193548387097,17.01,24.43,27.4193548387097,NA,NA,NA
1952-08-01,NA,17.5883422851563,18.6979309082031,18.4538513183594,NA,16.4064516129032,23.9322580645161,27.2769230769231,17.4354838709677,24.5967741935484,27.3483870967742,18.78,25.1766666666667,27.8838709677419,NA,NA,NA
