time,observation,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1,ICHEC-EC-EARTH_DMI-HIRHAM5,ICHEC-EC-EARTH_KNMI-RACMO22E,ICHEC-EC-EARTH_SMHI-RCA4
1951-01-01,NA,2.73056799924234,1.35307463788195,0.961443728010636,NA
1951-02-01,NA,4.52805203385651,2.0258091200958,1.86412271868903,NA
1951-03-01,NA,2.78291119029745,2.07888102595462,1.09350037018885,NA
1951-04-01,NA,3.26874012826011,0.940104204710224,1.78724352299469,NA
1951-05-01,NA,3.16273728967644,3.48966722813202,6.12324964022264,NA
1951-06-01,NA,4.14239763049409,5.09322904399596,4.45391635294072,NA
1951-07-01,NA,5.44208458741195,2.25415832974249,4.757067526225,NA
1951-08-01,NA,5.51144069759175,1.96131556149339,3.08556667878293,NA
1951-09-01,NA,3.98211337742396,3.10091137653217,4.2170667933533,NA
1951-10-01,NA,3.99643024429679,0.786416304799786,2.54763681296026,NA
1951-11-01,NA,0.809836709231604,0.191666668251855,0.814194558915915,NA
1951-12-01,NA,0.25515196739434,0.201738906207538,0.378907117010385,NA
1952-01-01,NA,2.84442561096512,0.637600813388417,0.613534674994298,NA
1952-02-01,NA,6.47869933163747,4.7566001303494,9.27696087746881,NA
1952-03-01,NA,2.77067858842202,1.75466234504711,1.98488377063768,NA
1952-04-01,NA,1.83694193547126,0.855598934140289,0.512501159028034,NA
1952-05-01,NA,3.55791390175,0.655493930571538,1.49433313636109,NA
1952-06-01,NA,9.804086771328,5.43828114168718,5.45639249612577,NA
1952-07-01,NA,3.61960167065263,2.59916834766045,3.94179348950274,NA
1952-08-01,NA,4.92653200635687,2.54712702299003,3.20489635050762,NA
1952-09-01,NA,1.54926272080047,2.95442708884366,3.58399228134658,NA
1952-10-01,NA,1.95466668228619,0.362777216241739,1.79070475132903,NA
1952-11-01,NA,0.287300811032765,0.374999999257852,0.264844356570393,NA
1952-12-01,NA,0.0791556362855772,0.786164307464787,0.700606458121911,NA
1953-01-01,NA,2.37285908369813,4.40423393156379,2.22568560711807,NA
1953-02-01,NA,10.9002111945301,6.62737176753581,9.77345976862125,NA
1953-03-01,NA,3.35647971660364,1.33896170664229,2.65323193743825,NA
1953-04-01,NA,4.23464293708093,1.39192703791196,3.23321057658177,NA
1953-05-01,NA,4.958074784372,1.8538307173003,2.80456777545623,NA
1953-06-01,NA,4.20762795838527,1.77812490292126,3.25404379691463,NA
1953-07-01,NA,4.21322555048391,1.74798384105088,4.0339056024095,NA
1953-08-01,NA,2.96120393613819,2.59891641908325,2.59614984097425,NA
1953-09-01,NA,4.2637228500098,2.53619791183155,4.15430600987747,NA
1953-10-01,NA,4.20070267282426,1.98790325957816,3.3937826694455,NA
1953-11-01,NA,5.18712925259024,3.85312496364349,5.09506287344266,NA
1953-12-01,NA,2.65214273531456,1.08984375183354,1.62790191970998,NA
1954-01-01,NA,3.50395686691627,1.62613409775076,3.68045185168739,NA
1954-02-01,NA,4.33993085171096,2.72753904137062,3.27037569950335,NA
1954-03-01,NA,5.10385829256848,1.82648691916256,4.74005621799733,NA
1954-04-01,NA,7.05264983698726,6.54492181492969,8.35991461062804,NA
1954-05-01,NA,5.50663362373598,2.73613907047547,3.10560183716007,NA
1954-06-01,NA,3.84357560542412,3.57526031584712,2.04245267232182,NA
1954-07-01,NA,2.3543965537101,1.24735382414656,2.60799480602145,NA
1954-08-01,NA,5.94468838535249,3.62033765413798,4.22896629315801,NA
1954-09-01,NA,2.18182312091812,0.897395837819204,1.52200862212339,NA
1954-10-01,NA,3.07368658832274,2.72467229297035,3.04310162609909,NA
1954-11-01,NA,0.874729161296273,0.17213541491401,1.49323273653863,NA
1954-12-01,NA,2.40388598176651,2.37991438043537,3.91129936615471,NA
1955-01-01,NA,4.68997107236646,2.87941028655041,5.11845930595882,NA
1955-02-01,NA,2.27741453563794,2.90638955048053,1.96903340838617,NA
1955-03-01,NA,2.24442855105735,2.93447577569168,1.82056862104218,NA
1955-04-01,NA,4.33902890654281,1.8100261251675,1.67044649570016,NA
1955-05-01,NA,5.37058087647893,2.38117445551325,4.1633157961769,NA
1955-06-01,NA,6.26663597649895,3.09973966504913,3.0036525655305,NA
1955-07-01,NA,2.95314544346184,1.75037810549838,3.99345676414669,NA
1955-08-01,NA,3.19187220884487,0.874622016999638,2.65423996606842,NA
1955-09-01,NA,3.28137946198694,5.27187485131435,1.86198352603242,NA
1955-10-01,NA,3.12826267909259,2.05405745655298,5.07838883204386,NA
1955-11-01,NA,3.07829563971609,2.90026055881754,3.56172717001755,NA
1955-12-01,NA,4.20525247463956,4.30972771137021,7.61102980468422,NA
1956-01-01,NA,0.467972891055979,1.62676415493479,0.39327206031885,NA
1956-02-01,NA,0.0945018933634856,0.0286907325417474,0.755389627738623,NA
1956-03-01,NA,2.92830022517592,4.21698577702045,2.97682107193395,NA
1956-04-01,NA,3.67860764963552,1.30872393201571,2.35365106200334,NA
1956-05-01,NA,5.92229675967246,3.94027225265745,6.39038744266145,NA
1956-06-01,NA,4.28968610940501,2.06666673329892,4.96407439350151,NA
1956-07-01,NA,3.79352621384896,2.18497985042632,3.56477648019791,NA
1956-08-01,NA,6.35288418852724,1.52633566831355,5.61732660862617,NA
1956-09-01,NA,2.46379744203296,2.13268231455004,3.08229891525116,NA
1956-10-01,NA,3.31709297024645,1.24483371328097,3.3999573555775,NA
1956-11-01,NA,6.02142366115004,3.06054681568639,5.35574113600887,NA
1956-12-01,NA,0.430960145240533,0.455141118982283,0.575606212805724,NA
