time,observation,CCCma-CanESM2_CLMcom-CCLM4-8-17,CCCma-CanESM2_GERICS-REMO2015,CCCma-CanESM2_CLMcom-CCLM4-8-17_min,CCCma-CanESM2_CLMcom-CCLM4-8-17_pred,CCCma-CanESM2_CLMcom-CCLM4-8-17_max,CCCma-CanESM2_GERICS-REMO2015_min,CCCma-CanESM2_GERICS-REMO2015_pred,CCCma-CanESM2_GERICS-REMO2015_max
1951-01-01,NA,-5.44063415527341,-2.1595520019531,-6.87741935483871,-4.08214285714286,-1.2,-6.82258064516129,-4.07307692307692,-1.05483870967742
1951-02-01,NA,-6.15860595703123,-1.3002990722656,-6.87741935483871,-5.77096774193548,-2.81290322580645,-5.93548387096774,-3.47096774193548,0.348387096774193
1951-03-01,NA,-3.03261413574216,0.277062988281273,-5.72258064516129,-2.08387096774194,3.36774193548387,-3.59677419354839,-0.176666666666667,6.46451612903226
1951-04-01,NA,1.45173034667971,2.94165954589846,-1.66428571428571,3.95333333333333,11.3645161290323,-0.736666666666667,5.95806451612903,12.41
1951-05-01,NA,8.45803222656252,7.29741821289065,3.24516129032258,11.2633333333333,15.75,3.96129032258065,11.3645161290323,15.75
1951-06-01,NA,8.46480712890627,8.24640808105471,3.24516129032258,11.2633333333333,15.75,5.74193548387097,12.41,15.7806451612903
1951-07-01,NA,12.3362213134766,11.4482513427735,7.61,13.4766666666667,16.08,10.4366666666667,15.6,16.8193548387097
1951-08-01,NA,14.5790802001953,7.98809204101565,10.4366666666667,15.7354838709677,16.83,5.44333333333333,12.3366666666667,15.7806451612903
1951-09-01,NA,8.78872070312502,7.27460632324221,3.55806451612903,11.31,15.75,3.96129032258065,11.3645161290323,15.75
1951-10-01,NA,3.79537353515627,2.5766540527344,-0.176666666666667,6.6,13.4354838709677,-1.05483870967742,5.44333333333333,12.3366666666667
1951-11-01,NA,-1.52390136718748,-0.0532135009765398,-3.89032258064516,-0.41,6.40666666666667,-3.89032258064516,-0.736666666666667,5.74193548387097
1951-12-01,NA,-0.537725830078102,-0.0723022460937273,-3.47096774193548,0.6,8.69,-3.89032258064516,-0.736666666666667,5.74193548387097
1952-01-01,NA,-3.18370666503904,-0.742132568359352,-5.77096774193548,-2.10645161290323,3.12,-5.72258064516129,-2.08387096774194,3.00645161290323
1952-02-01,NA,-6.48343505859373,-0.104208374023415,-6.87741935483871,-5.9,-3.03225806451613,-4.07307692307692,-1.02758620689655,5.65483870967742
1952-03-01,NA,-3.39838256835935,0.828485107421898,-5.77096774193548,-2.59677419354839,2.60666666666667,-3.21290322580645,0.923333333333333,8.51071428571429
1952-04-01,NA,2.59211120605471,4.22675476074221,-1.05483870967742,5.74193548387097,12.5,0.155172413793103,7.83870967741935,13.4766666666667
1952-05-01,NA,6.3776794433594,4.71505126953127,1.98709677419355,9.33,14.9733333333333,0.923333333333333,8.51071428571429,13.91
1952-06-01,NA,9.65329895019534,7.93137512207034,4.62,12.0903225806452,15.7806451612903,4.98387096774194,12.3366666666667,15.7666666666667
1952-07-01,NA,13.4548583984375,11.5517059326172,8.95806451612903,14.9066666666667,16.6096774193548,11.0322580645161,15.6,16.8193548387097
1952-08-01,NA,13.2660614013672,11.4251953125,8.82,14.8741935483871,16.3903225806452,10.4366666666667,15.4161290322581,16.8193548387097
1952-09-01,NA,11.4336334228516,9.0602966308594,6.40666666666667,12.9161290322581,16.0322580645161,6.40666666666667,12.85,15.8967741935484
1952-10-01,NA,2.16396484375002,2.15593872070315,-1.30645161290323,4.98387096774194,12.3516129032258,-1.38709677419355,3.96129032258065,11.3645161290323
1952-11-01,NA,-0.487646484374977,-0.91881408691404,-3.47096774193548,0.6,8.69,-5.77096774193548,-2.81290322580645,2.29354838709677
1952-12-01,NA,-2.46503295898435,-2.26968994140623,-4.24516129032258,-1.38709677419355,4.62,-6.82258064516129,-4.08214285714286,-1.30645161290323
1953-01-01,NA,-4.3531555175781,-0.103460693359352,-5.93548387096774,-3.47096774193548,0.6,-4.07307692307692,-1.02758620689655,5.65483870967742
1953-02-01,NA,-4.3070129394531,-0.0249847412109148,-5.93548387096774,-3.47096774193548,0.6,-3.89032258064516,-0.736666666666667,5.95806451612903
1953-03-01,NA,-0.223059082031227,1.9578796386719,-3.21290322580645,1.11428571428571,8.95806451612903,-1.55,3.6,11.31
1953-04-01,NA,1.53513488769534,1.72974548339846,-1.66428571428571,3.95333333333333,11.5645161290323,-1.675,3.24516129032258,10.4366666666667
1953-05-01,NA,4.85544738769534,4.88166198730471,0.155172413793103,8.36666666666667,14.1193548387097,1.11428571428571,8.72903225806452,14.1193548387097
1953-06-01,NA,11.9627319335938,9.96167907714846,6.62258064516129,13.4354838709677,16.08,8.36666666666667,13.71,16.08
1953-07-01,NA,12.7461944580078,11.8662200927735,8.36666666666667,14.1193548387097,16.3645161290323,11.3645161290323,15.75,16.83
1953-08-01,NA,11.998666381836,10.242074584961,6.62258064516129,13.4387096774194,16.08,8.72903225806452,14.1193548387097,16.3645161290323
1953-09-01,NA,8.90728149414065,8.1249938964844,3.6,11.3290322580645,15.7645161290323,5.65483870967742,12.3516129032258,15.7806451612903
1953-10-01,NA,5.02759704589846,4.10498962402346,0.348387096774193,8.51071428571429,14.1193548387097,0.155172413793103,7.61333333333333,13.4766666666667
1953-11-01,NA,2.42705688476565,1.01053771972659,-1.2,5.65483870967742,12.41,-2.97096774193548,1.51,8.82
1953-12-01,NA,-2.63942565917966,-1.61212768554685,-5.72258064516129,-1.66428571428571,3.96129032258065,-5.93548387096774,-3.59677419354839,-0.117857142857143
