time,observation,MIROC-MIROC5_CLMcom-CCLM4-8-17,MIROC-MIROC5_GERICS-REMO2015
1951-01-01,NA,3.06187109090388,0.482670911878813
1951-02-01,NA,0.728504620929016,0.00333179127807171
1951-03-01,NA,3.83428127970546,3.882912453264
1951-04-01,NA,4.08597521600313,4.66198295471258
1951-05-01,NA,8.72664309572428,10.4458565125242
1951-06-01,NA,4.71747827832587,5.35147390910424
1951-07-01,NA,2.06318377749994,7.39881573244929
1951-08-01,NA,2.45958404266275,5.84671441465616
1951-09-01,NA,1.0211289554718,2.39363399741706
1951-10-01,NA,7.68702956847847,4.47000112035312
1951-11-01,NA,1.28104176692432,1.91485041577835
1951-12-01,NA,1.95203392650001,1.28579839220038
1952-01-01,NA,0.798719633894507,0.594226787507068
1952-02-01,NA,1.46114123199368,2.09321097645443
1952-03-01,NA,4.50566040817648,2.71537688677199
1952-04-01,NA,7.18830716796219,9.83356822980568
1952-05-01,NA,4.06234217807651,4.42905871896073
1952-06-01,NA,2.76370756910183,10.0594838848338
1952-07-01,NA,6.56580689828843,4.25140365259722
1952-08-01,NA,2.81908847973682,4.05893964925781
1952-09-01,NA,6.82613194221631,5.39109113160521
1952-10-01,NA,5.74994146591052,4.5119330054149
1952-11-01,NA,1.58948190801311,0.8290516656416
1952-12-01,NA,0.92349154438125,1.35868052020669
1953-01-01,NA,3.76170007511973,1.33768786035944
1953-02-01,NA,1.09528149187099,1.81168794224504
1953-03-01,NA,3.37879755534232,1.35260932438541
1953-04-01,NA,7.80786570394412,6.42625166801736
1953-05-01,NA,4.87786358571611,7.90199175244197
1953-06-01,NA,5.76214687898755,10.1540833013132
1953-07-01,NA,3.70207095402293,6.08603021828458
1953-08-01,NA,3.31006592314225,4.76542124524713
1953-09-01,NA,3.80912346881814,1.44366885360796
1953-10-01,NA,4.06020510708913,6.05507207801566
1953-11-01,NA,5.48999769380316,4.57765147439204
1953-12-01,NA,3.14706931239925,2.4047814833466
1954-01-01,NA,2.32867430022452,0.838075537467375
1954-02-01,NA,3.05987294996157,1.72962649085093
1954-03-01,NA,1.31194494024385,1.03932478377828
1954-04-01,NA,2.37102682585828,4.50377165107056
1954-05-01,NA,6.32381181931123,7.66732696210966
1954-06-01,NA,6.23386875959113,12.1214424376376
1954-07-01,NA,2.53774759476073,6.50063393404707
1954-08-01,NA,2.1967713808408,5.34708519699052
1954-09-01,NA,1.65768940933049,3.26060234801844
1954-10-01,NA,2.03265264281072,3.92810762277804
1954-11-01,NA,5.66412890329957,5.42484940378927
1954-12-01,NA,1.57750775688328,0.0972931211435935
1955-01-01,NA,2.69300270592794,0.314897048519924
1955-02-01,NA,0.60386191616999,0.262510893662693
1955-03-01,NA,5.02904352033511,2.3474560235627
1955-04-01,NA,3.97333516739309,3.83531021070667
1955-05-01,NA,7.06613736692816,5.71580097894184
1955-06-01,NA,3.32365686481353,6.23098517535254
1955-07-01,NA,4.7825574176386,5.23931854404509
1955-08-01,NA,1.75358131527901,7.14075160212815
1955-09-01,NA,4.82201575068757,2.18461806653067
1955-10-01,NA,6.88936554361135,7.27434855652973
1955-11-01,NA,0.874872354324907,1.11633858759888
1955-12-01,NA,3.90870849369094,2.35784780234098
1956-01-01,NA,3.97697359439917,3.33949638297781
1956-02-01,NA,3.7930118269287,3.50876158336177
1956-03-01,NA,1.60164488770533,2.02104263298679
1956-04-01,NA,5.5920155660715,3.52292741881683
1956-05-01,NA,5.03876595175825,5.59323764755391
1956-06-01,NA,9.59352822974324,5.44801944633946
1956-07-01,NA,0.960256870166631,5.33482980681583
1956-08-01,NA,4.6068387280684,4.48805432533845
1956-09-01,NA,7.18690655194223,1.68029642372858
1956-10-01,NA,2.37447555991821,2.52418494201265
1956-11-01,NA,4.20466186478734,7.70538247888908
1956-12-01,NA,2.9351863777265,0.971629508421756
1957-01-01,NA,0.772933494590688,0.00692060972369291
1957-02-01,NA,0.811019972024951,1.83071444334928
1957-03-01,NA,1.76097148214467,3.328843874624
1957-04-01,NA,3.29759372980334,5.30497996369377
1957-05-01,NA,5.45003550359979,5.92977226478979
1957-06-01,NA,7.06188742769882,7.45811340166256
1957-07-01,NA,4.00691506220028,3.59037827001885
1957-08-01,NA,2.62995243247133,3.30909317708574
1957-09-01,NA,2.14315459888894,3.0352417845279
1957-10-01,NA,2.51307761063799,5.43039073236287
1957-11-01,NA,4.72962459898554,2.22604711598251
1957-12-01,NA,2.8071035631001,1.28751592274057
1958-01-01,NA,7.12113857734948,3.27485037851147
1958-02-01,NA,4.05990603030659,3.48877608776093
1958-03-01,NA,4.94164944975637,2.15107997646555
1958-04-01,NA,6.56882501207292,5.57070190552622
1958-05-01,NA,7.18574922066182,10.978762304876
1958-06-01,NA,3.58618255122565,8.79674336174503
1958-07-01,NA,2.93252218980342,5.47309301909991
1958-08-01,NA,1.94127934228163,4.91973653552122
1958-09-01,NA,1.80319108912954,6.47551242727786
1958-10-01,NA,3.42484987922944,6.10499762697145
1958-11-01,NA,2.83255479298532,3.24552215170115
1958-12-01,NA,2.89462006185204,1.82769090752117
1959-01-01,NA,2.46827707160264,1.60489933186909
1959-02-01,NA,0.199997559684562,0.067382142515271
1959-03-01,NA,3.18101617740467,1.86617877334356
1959-04-01,NA,2.35602395259775,6.5058167790994
1959-05-01,NA,7.53817262593657,7.37834115279838
1959-06-01,NA,3.1695608922746,9.6362727927044
1959-07-01,NA,3.56613199110143,6.53291473863646
1959-08-01,NA,5.44461644603871,7.93672834988683
1959-09-01,NA,1.9744137651287,6.6897013806738
