time,observation,MOHC-HadGEM2-ES_CLMcom-CCLM4-8-17,MOHC-HadGEM2-ES_CLMcom-ETH-COSMO-crCLIM-v1-1,MOHC-HadGEM2-ES_DMI-HIRHAM5,MOHC-HadGEM2-ES_GERICS-REMO2015,MOHC-HadGEM2-ES_KNMI-RACMO22E,MOHC-HadGEM2-ES_MOHC-HadREM3-GA7-05,MOHC-HadGEM2-ES_SMHI-RCA4,MOHC-HadGEM2-ES_UHOH-WRF361H,MOHC-HadGEM2-ES_CLMcom-CCLM4-8-17_min,MOHC-HadGEM2-ES_CLMcom-CCLM4-8-17_pred,MOHC-HadGEM2-ES_CLMcom-CCLM4-8-17_max,MOHC-HadGEM2-ES_CLMcom-ETH-COSMO-crCLIM-v1-1_min,MOHC-HadGEM2-ES_CLMcom-ETH-COSMO-crCLIM-v1-1_pred,MOHC-HadGEM2-ES_CLMcom-ETH-COSMO-crCLIM-v1-1_max,MOHC-HadGEM2-ES_DMI-HIRHAM5_min,MOHC-HadGEM2-ES_DMI-HIRHAM5_pred,MOHC-HadGEM2-ES_DMI-HIRHAM5_max,MOHC-HadGEM2-ES_GERICS-REMO2015_min,MOHC-HadGEM2-ES_GERICS-REMO2015_pred,MOHC-HadGEM2-ES_GERICS-REMO2015_max,MOHC-HadGEM2-ES_KNMI-RACMO22E_min,MOHC-HadGEM2-ES_KNMI-RACMO22E_pred,MOHC-HadGEM2-ES_KNMI-RACMO22E_max,MOHC-HadGEM2-ES_MOHC-HadREM3-GA7-05_min,MOHC-HadGEM2-ES_MOHC-HadREM3-GA7-05_pred,MOHC-HadGEM2-ES_MOHC-HadREM3-GA7-05_max,MOHC-HadGEM2-ES_SMHI-RCA4_min,MOHC-HadGEM2-ES_SMHI-RCA4_pred,MOHC-HadGEM2-ES_SMHI-RCA4_max,MOHC-HadGEM2-ES_UHOH-WRF361H_min,MOHC-HadGEM2-ES_UHOH-WRF361H_pred,MOHC-HadGEM2-ES_UHOH-WRF361H_max
1951-01-01,NA,-11.2122100830078,-11.8713897705078,-11.9034790039062,-12.0985626220703,-18.1755050659179,NA,NA,NA,-0.736666666666667,6.6,13.91,2.60666666666667,11.3290322580645,15.7806451612903,-0.116666666666667,8.51071428571429,14.9733333333333,-1.2,6.33,13.4387096774194,2.43225806451613,11.2633333333333,15.7666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-02-01,NA,-9.52312316894529,-6.46065368652341,-7.04257812499998,-4.04079284667966,-14.804052734375,NA,NA,NA,-0.176666666666667,7.91666666666667,14.8741935483871,3.24516129032258,12.0133333333333,15.8967741935484,1.51,9.85666666666667,15.75,0.155172413793103,8.95806451612903,15.3258064516129,3.00645161290323,11.3645161290323,15.8451612903226,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-03-01,NA,-1.25643005371091,1.08175048828127,1.31954345703127,2.15113220214846,-5.13109436035154,NA,NA,NA,3.00645161290323,11.3645161290323,15.7806451612903,3.55806451612903,12.3366666666667,15.9,3.55806451612903,12.0903225806452,15.8967741935484,3.24516129032258,12.0133333333333,15.8451612903226,3.55806451612903,12.3366666666667,15.8967741935484,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-04-01,NA,1.6475769042969,1.89804992675784,2.05399475097659,3.55402526855471,-3.40506591796873,NA,NA,NA,3.55806451612903,12.3366666666667,15.8967741935484,3.6,12.3366666666667,15.9,3.55806451612903,12.3366666666667,15.8967741935484,3.6,12.3366666666667,15.8967741935484,3.55806451612903,12.3366666666667,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-05-01,NA,6.4464050292969,8.3170104980469,7.9605651855469,6.60111389160159,4.0367370605469,NA,NA,NA,4.72903225806452,12.5645161290323,16.0322580645161,3.95333333333333,12.3516129032258,15.9,4.62,12.5645161290323,16.0322580645161,4.62,12.5645161290323,16.0322580645161,3.95333333333333,12.41,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-06-01,NA,9.30379638671877,10.3030944824219,9.62465820312502,9.83255920410159,8.05509338378909,NA,NA,NA,5.65483870967742,12.85,16.08,3.95333333333333,12.41,15.9,4.72903225806452,12.6466666666667,16.0322580645161,5.74193548387097,12.9161290322581,16.08,3.96129032258065,12.41,16.0322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-07-01,NA,15.2806945800781,13.9985900878906,12.18642578125,11.02041015625,9.05608520507815,NA,NA,NA,6.62258064516129,13.91,16.6096774193548,3.96129032258065,12.5,16.0322580645161,5.65483870967742,12.9161290322581,16.08,6.31034482758621,13.4354838709677,16.3645161290323,4.24333333333333,12.5,16.0322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-08-01,NA,16.625619506836,15.5811706542969,13.6363006591797,12.0179992675781,10.9473815917969,NA,NA,NA,7.61,14.7322580645161,16.6096774193548,4.24333333333333,12.5,16.0322580645161,5.95806451612903,13.1366666666667,16.3645161290323,6.40666666666667,13.4766666666667,16.3903225806452,4.62,12.5645161290323,16.0322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-09-01,NA,11.3190704345703,12.4572692871094,11.6752410888672,9.4223571777344,7.27927551269534,NA,NA,NA,5.95806451612903,13.1366666666667,16.3645161290323,3.96129032258065,12.41,16.0322580645161,5.44333333333333,12.85,16.08,5.65483870967742,12.9161290322581,16.08,3.96129032258065,12.41,16.0322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-01,NA,3.26697692871096,4.34810791015627,3.66924438476565,5.0068298339844,0.409539794921898,NA,NA,NA,3.96129032258065,12.41,15.9,3.6,12.3516129032258,15.9,3.95333333333333,12.3516129032258,15.9,3.96129032258065,12.41,15.9,3.6,12.3516129032258,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
