time,observation,MIROC-MIROC5_CLMcom-CCLM4-8-17,MIROC-MIROC5_GERICS-REMO2015,MIROC-MIROC5_CLMcom-CCLM4-8-17_min,MIROC-MIROC5_CLMcom-CCLM4-8-17_pred,MIROC-MIROC5_CLMcom-CCLM4-8-17_max,MIROC-MIROC5_GERICS-REMO2015_min,MIROC-MIROC5_GERICS-REMO2015_pred,MIROC-MIROC5_GERICS-REMO2015_max
1951-01-01,NA,-5.1648010253906,-6.97347106933591,-5.72258064516129,-2.59677419354839,2.53548387096774,-6.82258064516129,-4.07307692307692,-1.05483870967742
1951-02-01,NA,-4.66454162597654,-1.54837646484373,-4.24516129032258,-1.675,3.36774193548387,-3.59677419354839,-0.117857142857143,6.62258064516129
1951-03-01,NA,-4.68953552246091,-2.10617675781248,-4.24516129032258,-1.675,3.24516129032258,-3.89032258064516,-0.668965517241379,6.32903225806452
1951-04-01,NA,3.2078796386719,2.67139587402346,-0.117857142857143,6.46451612903226,12.85,-0.117857142857143,6.62258064516129,13.1366666666667
1951-05-01,NA,4.09050903320315,4.86863098144534,0.0709677419354838,7.61,13.4354838709677,2.02258064516129,9.33,14.9066666666667
1951-06-01,NA,10.6147094726563,9.70009765625002,6.46451612903226,12.85,15.8967741935484,6.40666666666667,12.9161290322581,15.9
1951-07-01,NA,12.8897644042969,12.4209075927735,9.6,14.9870967741935,16.6096774193548,10.4366666666667,15.6,16.8193548387097
1951-08-01,NA,13.6911865234375,12.3643737792969,11.2633333333333,15.6,16.8193548387097,10.4366666666667,15.6,16.8193548387097
1951-09-01,NA,8.34577331542971,7.89925537109377,3.95333333333333,11.31,15.7354838709677,4.62,12.0133333333333,15.7666666666667
1951-10-01,NA,4.83852539062502,4.97260437011721,0.6,8.36666666666667,13.71,2.02258064516129,9.48709677419355,14.9733333333333
1951-11-01,NA,-1.29717102050779,0.16370544433596,-2.93870967741935,2.02258064516129,8.95806451612903,-2.10645161290323,3.00645161290323,10.1032258064516
1951-12-01,NA,-2.62904968261716,-0.557836914062477,-3.51666666666667,-0.0857142857142857,6.64666666666667,-2.97096774193548,1.98709677419355,9.33
1952-01-01,NA,-9.57126464843748,-8.1789611816406,-6.87741935483871,-5.9,-3.21290322580645,-6.87741935483871,-5.77096774193548,-2.10645161290323
1952-02-01,NA,-9.62145080566404,-4.24008789062498,-6.87741935483871,-5.93548387096774,-3.47096774193548,-5.77096774193548,-2.81290322580645,2.43225806451613
1952-03-01,NA,-4.66611328124998,-1.23630371093748,-4.24516129032258,-1.675,3.36774193548387,-3.51666666666667,0.0709677419354838,7.61333333333333
1952-04-01,NA,0.577798461914085,1.05770263671877,-1.55,3.6,11.31,-1.38709677419355,4.24333333333333,11.5645161290323
1952-05-01,NA,7.14786682128909,6.14296875000002,3.00645161290323,9.85666666666667,14.9870967741935,3.12,10.1032258064516,15.4161290322581
1952-06-01,NA,11.7029663085938,11.6345306396485,7.91666666666667,13.71,16.08,9.48709677419355,14.9066666666667,16.6096774193548
1952-07-01,NA,13.0425201416016,12.6240173339844,10.0677419354839,15.3258064516129,16.6096774193548,11.2633333333333,15.7354838709677,16.83
1952-08-01,NA,12.9088073730469,13.0156951904297,9.6,14.9870967741935,16.6096774193548,12.0133333333333,15.7666666666667,16.83
1952-09-01,NA,8.1945739746094,9.4763122558594,3.6,11.2633333333333,15.6,6.33,12.85,15.9
1952-10-01,NA,1.58342895507815,3.15714416503909,-1.02758620689655,5.44333333333333,12.0903225806452,-0.0857142857142857,7.61333333333333,13.4766666666667
1952-11-01,NA,-2.58415832519529,-1.23239746093748,-3.51666666666667,-0.0857142857142857,6.64666666666667,-3.51666666666667,0.0709677419354838,7.61333333333333
1952-12-01,NA,-7.0835021972656,-6.64736022949216,-5.93548387096774,-3.76206896551724,-0.271428571428571,-6.82258064516129,-3.89032258064516,-0.736666666666667
1953-01-01,NA,-5.40204467773435,-2.87804260253904,-5.77096774193548,-2.81290322580645,2.29354838709677,-4.08214285714286,-1.38709677419355,4.62
1953-02-01,NA,-5.59847106933591,-5.89948120117185,-5.77096774193548,-2.93870967741935,1.98709677419355,-6.82258064516129,-3.59677419354839,-0.117857142857143
1953-03-01,NA,-3.8885559082031,-4.25139465332029,-4.07307692307692,-1.05483870967742,4.98387096774194,-5.77096774193548,-2.81290322580645,2.43225806451613
1953-04-01,NA,1.3361755371094,2.1646667480469,-1.2,4.72903225806452,12.0133333333333,-0.41,6.33,12.6466666666667
1953-05-01,NA,2.24965820312502,4.23220214843752,-0.668965517241379,5.95806451612903,12.41,1.11428571428571,8.72903225806452,14.7322580645161
1953-06-01,NA,9.44709167480471,9.11313781738284,5.65483870967742,12.3366666666667,15.7666666666667,6.31034482758621,12.5645161290323,15.8967741935484
1953-07-01,NA,11.4555755615235,12.9783416748047,7.61333333333333,13.4387096774194,16.0322580645161,11.5645161290323,15.7645161290323,16.83
1953-08-01,NA,10.8057189941406,11.6767822265625,6.6,12.9161290322581,15.8967741935484,9.48709677419355,14.9733333333333,16.6096774193548
1953-09-01,NA,9.88518676757815,10.066064453125,6.31034482758621,12.5,15.8451612903226,6.62258064516129,13.4354838709677,16.0322580645161
1953-10-01,NA,1.59415588378909,3.8608337402344,-1.02758620689655,5.44333333333333,12.0903225806452,0.6,8.51071428571429,14.1193548387097
1953-11-01,NA,-5.07478942871091,-2.39037170410154,-5.72258064516129,-2.10645161290323,2.60666666666667,-4.07307692307692,-1.02758620689655,5.74193548387097
