time,observation,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1,ICHEC-EC-EARTH_DMI-HIRHAM5,ICHEC-EC-EARTH_KNMI-RACMO22E,ICHEC-EC-EARTH_SMHI-RCA4,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_min,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_pred,ICHEC-EC-EARTH_CLMcom-ETH-COSMO-crCLIM-v1-1_max,ICHEC-EC-EARTH_DMI-HIRHAM5_min,ICHEC-EC-EARTH_DMI-HIRHAM5_pred,ICHEC-EC-EARTH_DMI-HIRHAM5_max,ICHEC-EC-EARTH_KNMI-RACMO22E_min,ICHEC-EC-EARTH_KNMI-RACMO22E_pred,ICHEC-EC-EARTH_KNMI-RACMO22E_max,ICHEC-EC-EARTH_SMHI-RCA4_min,ICHEC-EC-EARTH_SMHI-RCA4_pred,ICHEC-EC-EARTH_SMHI-RCA4_max
1951-01-01,NA,-2.49918212890623,-0.910238647460915,-3.9112609863281,NA,4.16774193548387,5.12258064516129,7.32413793103448,4.16774193548387,5.12258064516129,7.22666666666667,4.16774193548387,4.16774193548387,5.79032258064516,NA,NA,NA
1951-02-01,NA,-0.439169311523415,1.75899658203127,0.0255218505859602,NA,5.12258064516129,7.22666666666667,12.2533333333333,5.63225806451613,7.70967741935484,13.5392857142857,5.53225806451613,7.44838709677419,12.74,NA,NA,NA
1951-03-01,NA,7.33223876953127,6.66109619140627,4.65532836914065,NA,8.85806451612903,18.1290322580645,26.141935483871,8.39677419354839,16.0967741935484,24.69,7.62258064516129,13.9033333333333,24.16,NA,NA,NA
1951-04-01,NA,12.0101257324219,12.3782440185547,11.0838562011719,NA,12.441935483871,21.2333333333333,28.4433333333333,12.5827586206897,21.6129032258065,28.2333333333333,12.441935483871,21.1903225806452,28.01,NA,NA,NA
1951-05-01,NA,11.7965484619141,10.6882720947266,14.357797241211,NA,12.2633333333333,21.1903225806452,28.2333333333333,12.01,20.0387096774194,27.6161290322581,16.6806451612903,25.1290322580645,29.7774193548387,NA,NA,NA
1951-06-01,NA,15.8854309082031,12.5826202392578,18.7432189941406,NA,18.1290322580645,26.17,29.9741935483871,12.71,22.7548387096774,28.4433333333333,24.16,29.3666666666667,31.4064516129032,NA,NA,NA
1951-07-01,NA,18.965951538086,18.0925079345703,18.0592437744141,NA,22.7548387096774,28.6866666666667,31.2322580645161,20.5633333333333,27.7166666666667,30.4354838709677,21.6129032258065,28.4433333333333,31.0161290322581,NA,NA,NA
1951-08-01,NA,16.3190399169922,16.5075012207031,16.5855651855469,NA,18.4645161290323,26.2833333333333,30.1838709677419,18.5433333333333,26.17,29.9741935483871,19.5633333333333,27.4677419354839,30.2612903225806,NA,NA,NA
1951-09-01,NA,15.249887084961,15.5661254882813,15.6153503417969,NA,16.7354838709677,25.5258064516129,29.9193548387097,17.8933333333333,25.5258064516129,29.7774193548387,18.4645161290323,26.17,29.9741935483871,NA,NA,NA
1951-10-01,NA,9.90862426757815,10.061166381836,9.85624084472659,NA,11.3233333333333,19.8966666666667,27.6161290322581,11.3866666666667,19.83,27.141935483871,11.6357142857143,20.1142857142857,27.6466666666667,NA,NA,NA
1951-11-01,NA,4.09211120605471,4.83887634277346,5.45205078125002,NA,7.44838709677419,12.9464285714286,23.7161290322581,7.44838709677419,12.71,21.6129032258065,8.35,15.3161290322581,24.6166666666667,NA,NA,NA
1951-12-01,NA,-6.23125305175779,-5.31938781738279,-3.5346740722656,NA,4.16774193548387,4.16774193548387,5.53225806451613,4.16774193548387,4.16774193548387,5.12258064516129,4.16774193548387,4.96774193548387,6.2258064516129,NA,NA,NA
1952-01-01,NA,-1.77312316894529,-1.4342102050781,-0.11272277832029,NA,4.16774193548387,5.53225806451613,7.52258064516129,4.16774193548387,4.96774193548387,5.95806451612903,5.53225806451613,7.44838709677419,12.4433333333333,NA,NA,NA
1952-02-01,NA,0.515054321289085,2.17289123535159,0.892510986328148,NA,5.70322580645161,7.80384615384615,15.3483870967742,5.79032258064516,8.56785714285714,16.3258064516129,5.70322580645161,8.39677419354839,16.3258064516129,NA,NA,NA
1952-03-01,NA,3.74317321777346,4.86234436035159,1.94638977050784,NA,7.44838709677419,12.71,23.0516129032258,7.44838709677419,12.71,21.6129032258065,6.2258064516129,10.141935483871,19.2032258064516,NA,NA,NA
1952-04-01,NA,9.65613708496096,10.3733306884766,7.06061706542971,NA,11.0666666666667,19.83,27.5806451612903,11.4666666666667,19.8966666666667,27.4677419354839,8.96071428571429,18.1290322580645,26.0612903225806,NA,NA,NA
1952-05-01,NA,15.3977142333985,16.7330871582031,14.2611480712891,NA,16.9677419354839,25.7967741935484,29.9366666666667,19.2032258064516,26.3933333333333,30.1838709677419,16.3258064516129,25.12,29.6161290322581,NA,NA,NA
1952-06-01,NA,15.4507537841797,16.19814453125,16.2967926025391,NA,17.5677419354839,25.7967741935484,29.9366666666667,18.4645161290323,26.141935483871,29.9366666666667,19.2032258064516,26.8451612903226,30.1903225806452,NA,NA,NA
1952-07-01,NA,18.5701690673828,17.6089263916016,17.1521087646485,NA,21.2333333333333,28.4433333333333,31.0161290322581,20.0387096774194,27.6161290322581,30.2612903225806,20.0387096774194,27.6466666666667,30.4354838709677,NA,NA,NA
1952-08-01,NA,17.4799438476563,17.1470275878906,18.3956695556641,NA,19.8966666666667,27.6466666666667,30.4354838709677,19.5633333333333,27.141935483871,30.1903225806452,23.36,28.8466666666667,31.2322580645161,NA,NA,NA
