time,observation,MIROC-MIROC5_CLMcom-CCLM4-8-17,MIROC-MIROC5_GERICS-REMO2015,MIROC-MIROC5_CLMcom-CCLM4-8-17_min,MIROC-MIROC5_CLMcom-CCLM4-8-17_pred,MIROC-MIROC5_CLMcom-CCLM4-8-17_max,MIROC-MIROC5_GERICS-REMO2015_min,MIROC-MIROC5_GERICS-REMO2015_pred,MIROC-MIROC5_GERICS-REMO2015_max
1951-01-01,NA,-0.47850646972654,-1.2209533691406,5.53225806451613,7.44838709677419,12.2633333333333,4.16774193548387,5.70322580645161,8.35
1951-02-01,NA,1.67395935058596,6.50155029296877,6.81290322580645,11.0666666666667,19.2032258064516,7.34193548387097,12.2533333333333,20.3258064516129
1951-03-01,NA,2.44291076660159,6.60906372070315,7.22666666666667,11.6357142857143,19.9322580645161,7.34193548387097,12.2633333333333,20.5064516129032
1951-04-01,NA,10.1515289306641,11.8068481445313,11.4666666666667,19.83,27.141935483871,9.70689655172414,18.5433333333333,26.17
1951-05-01,NA,10.8894592285156,13.8388458251953,12.0266666666667,20.1142857142857,27.6161290322581,11.6357142857143,19.9322580645161,27.5806451612903
1951-06-01,NA,19.0097900390625,21.3269287109375,19.83,27.141935483871,30.1903225806452,19.8966666666667,27.4677419354839,30.2612903225806
1951-07-01,NA,23.320199584961,24.2442108154297,26.141935483871,29.9193548387097,31.6129032258065,25.1290322580645,29.6161290322581,31.5774193548387
1951-08-01,NA,23.1571594238281,23.3827911376953,26.0612903225806,29.9193548387097,31.5774193548387,24.16,29.0833333333333,31.2322580645161
1951-09-01,NA,16.959115600586,18.8910766601563,18.2413793103448,26.0612903225806,29.9193548387097,17.5677419354839,25.1733333333333,29.6161290322581
1951-10-01,NA,9.90247497558596,14.084115600586,11.3866666666667,19.4032258064516,26.8451612903226,12.01,20.0387096774194,27.6161290322581
1951-11-01,NA,2.86177978515627,7.14078674316409,7.34193548387097,12.2533333333333,20.3258064516129,7.44838709677419,12.4433333333333,21.1903225806452
1951-12-01,NA,1.61020812988284,3.17922363281252,6.81290322580645,10.141935483871,19.2032258064516,5.8741935483871,8.775,16.6806451612903
1952-01-01,NA,-3.80618896484373,-2.78641357421873,4.16774193548387,4.16774193548387,5.79032258064516,4.16774193548387,4.16774193548387,5.63225806451613
1952-02-01,NA,-1.49283447265623,0.76142272949221,4.96774193548387,5.95806451612903,9.225,5.53225806451613,7.32413793103448,12.0266666666667
1952-03-01,NA,2.10120544433596,6.33229980468752,6.88076923076923,11.3866666666667,19.5633333333333,7.32413793103448,12.0266666666667,20.1142857142857
1952-04-01,NA,6.99898681640627,9.06263122558596,8.96071428571429,17.8933333333333,25.1733333333333,8.35,15.3161290322581,24.3233333333333
1952-05-01,NA,14.551904296875,17.9545837402344,14.7677419354839,24.3233333333333,29.1032258064516,16.0967741935484,24.69,29.5064516129032
1952-06-01,NA,19.9585815429688,22.5979400634766,20.5633333333333,27.6933333333333,30.2774193548387,21.2333333333333,28.01,30.8225806451613
1952-07-01,NA,19.8341766357422,23.5151153564453,20.3258064516129,27.6466666666667,30.2774193548387,24.16,29.1032258064516,31.2322580645161
1952-08-01,NA,21.967431640625,24.5425048828125,24.6166666666667,29.3666666666667,31.4064516129032,26.0612903225806,29.9193548387097,31.6129032258065
1952-09-01,NA,14.1089874267578,19.1108947753906,14.5032258064516,24.1566666666667,29.0833333333333,17.8933333333333,25.5258064516129,29.7774193548387
1952-10-01,NA,7.19063720703127,11.9169708251953,9.225,17.8933333333333,25.5258064516129,9.70689655172414,18.6483870967742,26.17
1952-11-01,NA,1.99208984375002,4.8028503417969,6.88076923076923,11.3866666666667,19.4032258064516,6.81290322580645,11.0666666666667,19.2266666666667
1952-12-01,NA,-1.7949279785156,-0.808691406249977,4.96774193548387,5.8741935483871,8.775,4.96774193548387,5.8741935483871,8.85806451612903
1953-01-01,NA,-0.474447631835915,0.726556396484398,5.53225806451613,7.44838709677419,12.2633333333333,5.12258064516129,7.32413793103448,12.0266666666667
1953-02-01,NA,0.697229003906273,2.94300231933596,5.8741935483871,8.775,16.6806451612903,5.79032258064516,8.56785714285714,16.0967741935484
1953-03-01,NA,3.16434631347659,7.43703613281252,7.44838709677419,12.441935483871,20.5633333333333,7.44838709677419,12.71,21.6129032258065
1953-04-01,NA,7.86434326171877,11.5054412841797,9.55714285714286,18.4645161290323,26.0612903225806,9.36896551724138,18.2413793103448,26.0612903225806
1953-05-01,NA,10.0560089111328,13.5112548828125,11.3866666666667,19.5633333333333,27.141935483871,11.4666666666667,19.83,27.4677419354839
1953-06-01,NA,17.4507080078125,20.0860992431641,18.5433333333333,26.17,29.9366666666667,18.5433333333333,26.17,29.9366666666667
1953-07-01,NA,20.3747802734375,24.4888244628906,21.2333333333333,28.01,30.4354838709677,25.7967741935484,29.7774193548387,31.5774193548387
1953-08-01,NA,19.2660461425781,22.9425750732422,19.9322580645161,27.5806451612903,30.2612903225806,22.8193548387097,28.4433333333333,31.0161290322581
1953-09-01,NA,17.7622009277344,20.9056335449219,18.8233333333333,26.2833333333333,29.9366666666667,19.4032258064516,26.8451612903226,30.1838709677419
1953-10-01,NA,7.61750183105471,11.1166015625,9.36896551724138,18.2413793103448,25.7967741935484,9.225,17.8933333333333,25.5258064516129
1953-11-01,NA,0.386758422851585,2.49086914062502,5.70322580645161,8.35,15.3161290322581,5.70322580645161,8.35,14.7677419354839
1953-12-01,NA,-1.40199890136716,1.82137451171877,4.96774193548387,5.95806451612903,9.36896551724138,5.63225806451613,7.52258064516129,12.74
